input_angle_sag,w0_waist,waist_frac,family,sku,roc,N,chord_skip,R_ring,n_target,mode_s,input_offset_z,input_angle,size_class,envelope_max,opl_min,feasible,reason,opl_m,n_exit,throughput,exit_miss_mm,hole_margin_mm,ap_margin_mm,sep_margin_mm,min_sep_mm,w_max_mm,w_hole_mm,H_req_mm,stab_tan,stab_sag,aoi_deg,early_exit,polished,envelope_mm,source,lambda_nm,M2,margin_want,_rr,tier,overlap_amp,worst_dw,v_min_ml,v_full_ml,pvr_min
0.0315461542857741,0.2879092451998916,1.0826956284601166,one_inch,CM254-250-M01,500.0,12,5,53.48522698111387,132,sin,-0.0696913318922436,0.0337269472066653,D150,150.0,12.0,True,,13.638971089244045,132,0.877160280167946,6.981173268484791e-07,0.6589657998169014,3.3943752463135723,0.9455937039910056,1.5465664661075147,0.3083299484536571,0.3055389578269657,16.82211041125334,0.7859925281142128,0.8005154946517344,15.031581264581492,0.0,True,142.97045396222774,results_v9deep,1654.0,1.0,0.55,53.5,flight,1.7699762398351562e-06,5.146877075296404,126.35733990924982,275.0039840397156,107.9396820084974
0.0475220914718348,0.2429104533335171,0.0,one_inch,CM254-150-M01,300.0,13,5,62.085655326534926,143,sin,-0.1121544984328283,-0.0332622261961141,D170,170.0,16.0,True,,16.602614648121914,143,0.867559615765392,4.888698920028323e-06,2.562176001320396,2.900551628601276,0.3930020418689959,1.0620046988955505,0.3962872957301186,0.2429104533335171,20.140334799290216,0.5859889966310334,0.6384062651596777,20.85322843791033,0.0,True,160.17131065306984,results_long,1654.0,1.1,,62.1,flight,0.008011029459586927,3.107101522703401,214.6339269426942,370.5559902404328,77.35317004452284
0.0294187400756526,0.2805656516129226,1.0037488965931374,one_inch,CM254-150-M01,300.0,16,7,72.15525163899,144,sin,-0.0447766209857017,0.0301723925102091,D190,190.0,19.5,True,,20.381418104634665,144,0.866692056850082,3.009536616726677e-07,1.9387841086625184,3.871187389688562,0.3982578553378606,1.0367063200115263,0.3409049157580132,0.3106203288070839,16.424072511881647,0.5185786754396766,0.5376329189154649,11.309694393517304,0.0,True,180.31050327798,results_long,1654.0,1.1,,72.2,standard-lab,0.005128716926935865,3.2475802742868556,225.4572091591894,500.5035824870445,90.4003832063932
0.0453164993036312,0.312859072422155,1.2101987649414034,one_inch,CM254-200-M01,400.0,16,7,71.76080460387067,176,sin,-0.0917281316969399,-0.0348585920084372,D180,180.0,18.0,True,,24.774442099920847,176,0.8393835224916577,1.2354824367313658e-07,4.593472431958302,0.7027676466705515,0.5925242974717496,1.239573098783478,0.3599376373612463,0.3441307379867429,23.082206594641224,0.6410784136900177,0.6550504508873309,11.388352661118688,0.0,True,179.52160920774134,results_robust,1654.0,1.1,0.55,71.8,flight,0.0006538843190523156,3.831467105017689,332.2065331284089,495.04639035087706,74.57542109909289
0.0330898112592165,0.2942108789427811,1.1081775642703864,one_inch,CM254-200-M01,400.0,16,7,69.01358754039495,176,sin,-0.0344698376554666,0.0479008417443363,D190,190.0,19.5,True,,23.826005275797712,176,0.839383522469778,1.2446713208881749e-06,2.331855085365139,0.5624969335858587,0.844466979783705,1.5715982368851382,0.3821166864434248,0.3408962180168846,18.36212822613593,0.6552898015368785,0.6678229541748404,11.307632886002354,0.0,True,174.0271750807899,results_h2,2121.8,1.0,0.55,69.0,flight@H2,8.888359782857814e-05,4.322736016465604,237.5170385697517,457.8682266589679,100.31282563672046
0.0060698662311667,0.2447833706045881,1.04346715894206,one_inch,CM254-150-M01,300.0,10,3,48.31440344510818,190,cos,3.434904426436362,0.0505674114841662,D140,140.0,10.0,True,,14.85313827497906,190,0.8277082323637714,8.42359005181579e-07,1.7287098173797686,2.1433183108994847,0.3813010251430486,0.9325745203383312,0.2975998415334648,0.2600275756813347,18.84233534778139,0.6785969844776647,0.788799118678612,36.02741771049161,0.0,True,132.62880689021637,results_long,1654.0,1.1,,48.3,flight,0.003273595406796228,3.383335270350414,117.33969333308907,224.40087303669748,126.58238532135796
0.0360894245523899,0.2913338283507369,1.5,one_inch,CM254-500-M01,1000.0,12,5,52.42963408471186,204,sin,0.5145969849714438,0.0233413261475337,D180,180.0,18.0,True,,20.66237996156646,204,0.8161953380784123,1.586551530882281e-06,2.514740870055289,0.3658909359922351,0.5816186957628604,1.46632970917039,0.4564059361786017,0.3220576626343408,25.30625734252461,0.8950987945050952,0.9021720192722472,15.07488725387368,0.0,True,140.85926816942373,results_long,1654.0,1.1,,52.4,flight,0.004115307437630582,3.3148197233810466,199.74940777186012,264.2560582528989,103.44150799768876
0.022558337714157,0.436677279947304,1.055739592597584,one_inch,CM254-750-M01,1500.0,12,5,73.57024448483779,204,sin,0.0096734132577205,0.0228575952176199,D190,190.0,19.5,True,,28.99385350390421,204,0.765663137627776,0.0797181890210416,1.3497193142176052,0.3095407286501803,0.3500198383226551,1.238367904197224,0.4493401391252915,0.4459472778895472,21.659544007286662,0.9018834084834368,0.9085198471150052,15.024998916441753,0.0,True,183.1404889696756,results_long,1654.0,1.1,,73.6,flight,0.020516926565673447,2.7880240904856004,330.81294072926687,520.3262038655888,87.64425430271307
0.0434866091558856,0.2,0.7392882097377338,one_inch,CM254-100-M01,200.0,14,5,66.55262035132392,322,sin,-0.5272600350919938,-0.0530692145944515,D180,180.0,15.0,True,,38.61541466677718,322,0.7107222163959044,0.0233358891020278,2.1269575518729984,1.8822588625290155,0.8000148382428326,1.3713100234308502,0.360456414198912,0.2315539427517267,17.731478817753086,0.3331661881941893,0.4606116457627582,25.76625729266781,0.0,True,169.10524070264785,results_hardened,1654.0,1.0,0.8,66.6,active/nominal,0.00011230829806398655,4.2653974837563915,210.16085577109055,425.7960400134816,183.74218417171605
0.0381871670778954,0.227785970335604,1.150969589950733,one_inch,CM254-100-M01,200.0,14,5,66.5426595682176,322,sin,0.1700224985593834,0.0488787560605441,D180,180.0,18.0,True,,38.60963422065314,322,0.7253067522334576,3.1509458876385e-07,1.796493803360543,3.272214089640217,0.5867189036019098,1.200427773656152,0.3783375794746816,0.2780708366817823,15.50472991938936,0.3357321493970437,0.4590901694018452,25.735665998133094,0.0,True,169.0853191364352,results_robust,1654.0,1.1,0.55,66.5,active/nominal,0.0006498322521546883,3.8324347442849227,180.75358894409192,425.6685936533059,213.60369354876443
