input_angle_sag,w0_waist,waist_frac,family,sku,roc,N,chord_skip,R_ring,n_target,mode_s,input_offset_z,input_angle,M2,size_class,envelope_max,opl_min,feasible,reason,opl_m,n_exit,throughput,exit_miss_mm,hole_margin_mm,ap_margin_mm,sep_margin_mm,min_sep_mm,w_max_mm,w_hole_mm,H_req_mm,stab_tan,stab_sag,aoi_deg,early_exit,polished,envelope_mm,margin_want,worst_margin,grade,mc_complete_frac,walk_p95_mm,drift_p95_mrad,min_sep_p05_mm,overlap_frac,hole_clear_p05_mm,sep_ok,hole_ok,exit_ok,robust,robust_trim
0.022558337714157,0.436677279947304,1.055739592597584,one_inch,CM254-750-M01,1500.0,12,5,73.57024448483779,204,sin,0.0096734132577205,0.0228575952176199,1.1,D190,190.0,19.5,True,,28.99385350390421,204,0.765663137627776,0.0797181890210416,1.3497193142176052,0.3095407286501803,0.3500198383226551,1.238367904197224,0.4493401391252915,0.4459472778895472,21.659544007286662,0.9018834084834368,0.9085198471150052,15.024998916441753,0.0,True,183.1404889696756,,0.3500198383226551,flight,0.99,0.4913741380013729,2.416186277528142,1.0078237912593149,0.0,0.8070090729271873,True,True,True,True,True
0.0451504759677512,0.3029047161000323,1.2083241241846387,one_inch,CM254-200-M01,400.0,16,7,71.76079924051271,176,sin,0.0507052407885164,0.0339449661489053,1.1,D190,190.0,19.5,True,,24.774440244436025,176,0.8393835224792524,9.413940247973782e-07,4.680022687150705,0.6797997498996846,0.5957580544337442,1.2439236196619383,0.347775228381288,0.3370476510150773,23.06121280823872,0.6409964042282877,0.6549672746497313,11.388580098421135,0.0,True,179.52159848102542,0.55,0.5957580544337442,flight,1.0,0.3949438884999527,3.3131692757070894,0.8584594949183894,0.02,4.230175268443816,True,True,True,True,True
0.0360894245523899,0.2913338283507369,1.5,one_inch,CM254-500-M01,1000.0,12,5,52.42963408471186,204,sin,0.5145969849714438,0.0233413261475337,1.1,D170,170.0,16.0,True,,20.66237996156646,204,0.8161953380784123,1.586551530882281e-06,2.514740870055289,0.3658909359922351,0.5816186957628604,1.46632970917039,0.4564059361786017,0.3220576626343408,25.30625734252461,0.8950987945050952,0.9021720192722472,15.07488725387368,0.0,True,140.85926816942373,,0.5816186957628604,flight,1.0,0.47476917907622296,2.860288019753384,1.0847614756564201,0.0,2.1339263562240265,True,True,True,True,True
0.0347693668939037,0.4734016080091159,0.804069886108135,one_inch,CM254-150-M01,300.0,16,7,72.1507799086478,144,sin,0.5428620228495427,-0.0365859988748524,1.1,D190,190.0,19.5,True,,20.38015540178735,144,0.8666914202451322,3.951572568553872e-07,1.9050527169190152,2.6468108461836213,0.6714637965849183,1.5067419966436606,0.6068146609672693,0.4776121938030206,19.336457662710547,0.5188704936660739,0.5374186645723695,11.342382026026216,0.0,True,180.3015598172956,0.55,0.6714637965849183,flight,1.0,0.27529745654833443,2.869048967681781,1.2287120218152205,0.0,1.4932084122337228,True,True,True,True,True
0.0515313821318999,0.3178429848783021,0.0,one_inch,CM254-150-M01,300.0,13,5,62.08527130028699,143,sin,-0.0660033288703897,-0.0386997476177777,1.1,D170,170.0,16.0,True,,16.60249771134903,143,0.8344401266870131,0.0443406563082001,3.265022632764112,1.9648696925261504,0.550231734988714,1.1777046620047635,0.4092413040592234,0.3178429848783021,21.40240930436517,0.5859570865488916,0.6384674181251364,20.869096604506325,0.0,True,160.17054260057398,0.55,0.550231734988714,flight,1.0,0.3339206322091532,2.6281033365353554,1.0008356793966573,0.0,2.936557246453873,True,True,True,True,True
0.0060698662311667,0.2447833706045881,1.04346715894206,one_inch,CM254-150-M01,300.0,10,3,48.31440344510818,190,cos,3.434904426436362,0.0505674114841662,1.1,D160,160.0,14.0,True,,14.85313827497906,190,0.8277082323637714,8.42359005181579e-07,1.7287098173797686,2.1433183108994847,0.3813010251430486,0.9325745203383312,0.2975998415334648,0.2600275756813347,18.84233534778139,0.6785969844776647,0.788799118678612,36.02741771049161,0.0,True,132.62880689021637,,0.3813010251430486,flight,1.0,0.4805807717431403,4.444307723745262,0.6391479092268989,0.0,1.4623316731176597,True,True,True,True,True
0.0313271541116024,0.278218873282213,1.0621535370053683,one_inch,CM254-250-M01,500.0,12,5,53.485093866134605,132,sin,-0.068777642917145,0.0337293803712116,1.1,D150,150.0,12.0,True,,13.638937109426903,132,0.8771602801486917,1.195123121976367e-06,0.6464267432926403,3.375498898728792,0.8674911075086402,1.536218299015579,0.3410535440053452,0.2969653143890703,16.817836758002578,0.7859931075364709,0.800515925894512,15.03095079637636,0.0,True,142.9701877322692,,0.6464267432926403,flight,1.0,0.2724860995258668,2.2368016768074823,1.1640226259733977,0.0,0.38762812873582553,True,True,True,True,True
0.0381871670778954,0.227785970335604,1.150969589950733,one_inch,CM254-100-M01,200.0,14,5,66.5426595682176,322,sin,0.1700224985593834,0.0488787560605441,1.1,D180,180.0,18.0,True,,38.60963422065314,322,0.7253067522334576,3.1509458876385e-07,1.796493803360543,3.272214089640217,0.5867189036019098,1.200427773656152,0.3783375794746816,0.2780708366817823,15.50472991938936,0.3357321493970437,0.4590901694018452,25.735665998133094,0.0,True,169.0853191364352,0.55,0.5867189036019098,flight,1.0,0.8406974135406893,11.905044837140284,0.22215465954801542,0.32,0.732810095377831,False,True,True,False,False
0.0678217554779152,0.2,1.2286579182753568,one_inch,CM254-050-M01,100.0,14,5,76.86860662407429,238,sin,-1.0603877505224828,-0.0350393779700585,1.1,D190,190.0,19.5,True,,32.9659720555275,238,0.7887864088038041,0.0025225169508217,2.269859546221087,0.3002176601529385,0.5785806820743604,1.360254574864073,0.5298363280468199,0.3002921881412945,26.12477368186913,-0.5380971605587195,-0.2475505010095189,25.800640542202387,0.0,True,189.73721324814852,0.55,0.5785806820743604,flight,0.45,2.667513979193079,2689.992259419558,0.13562694654485669,0.26,0.11332064259031663,False,True,False,False,False
0.0516980752372433,0.2937567932186455,1.5,one_inch,CM254-200-M01,400.0,12,5,69.91986206295505,204,sin,0.0439055236312206,-0.0316416573409753,1.1,D180,180.0,18.0,True,,27.55520878757105,204,0.2146370986322334,0.2822188465648574,2.5448927447414187,0.3003286817058104,0.35002562170967,1.0071537638975694,0.3671788035428814,0.3453390825271926,25.149635106280407,0.6501409309095081,0.6739958617512998,15.141787722527226,0.0,True,175.8397241259101,,0.35002562170967,flight,1.0,0.3949666616957306,2.8566713123961467,0.5452553223792791,0.14,2.370336980560919,False,True,True,False,False
