N,s,roc_a,roc_b,k,n_exit,r_ring,exit_miss,sep_margin,hole_clear,envelope_mm,opl_m,throughput,ang_t,ang_s,off_z,w0,waist_frac,sku_a,sku_b,feasible
12,5,1000.0,1500.0,15,180,75.01027964300546,0.1200397510536707,-0.3570402087102576,0.30022472381079535,186.02055928601092,26.04999672529988,0.83603102134702,0.028872645584852367,0.008068670487211254,-0.0005905512713868797,0.5097364384803695,0.38151826846480585,CM254-500-M01,CM254-750-M01,False
12,5,1000.0,1500.0,17,204,58.73875613443195,0.05778048090562183,0.2891647534132664,1.2080347472056305,153.4775122688639,23.12266531263582,0.8161953381180392,0.022717113577544246,0.03594471522621262,-0.0014100116209678614,0.33858159785633024,0.41601642416224127,CM254-500-M01,CM254-750-M01,False
12,5,1000.0,1500.0,13,156,74.23034160764911,2.4088691383275633e-06,-0.8294305098819368,0.3001137276128434,184.46068321529822,22.33758624398215,0.8563487636013165,0.026460656500333662,6.490224052344129e-06,-0.0011629176192562629,0.3567825719357901,0.7739515247241804,CM254-500-M01,CM254-750-M01,False
12,5,1000.0,1500.0,19,228,47.19497165849725,0.0004899240477320102,0.004250641165256641,0.18862372837800567,130.3899433169945,20.76645164598147,0.7968302765754722,0.027262599845060742,0.03881259548310548,-0.003004845596961108,0.37208439736140697,0.00503277996568478,CM254-500-M01,CM254-750-M01,True
16,7,500.0,750.0,13,208,74.91947757673753,0.03708338426173991,0.32576696630722535,1.124781693977575,185.83895515347507,30.534302249911683,0.8129354506736306,0.04697166577691962,0.005987777236741551,0.004742746409761101,0.3098367455127595,0.17831726913515636,CM254-250-M01,CM254-375-M01,True
16,7,500.0,750.0,15,240,61.67848288431312,1.9385166384734926e-07,-0.6553036089793175,0.9608456169566082,159.35696576862625,29.008670867176598,0.7873207291459603,0.015211272738990828,0.02117768721417201,0.0004667382031279862,0.3035127585779174,0.6043617976618042,CM254-250-M01,CM254-375-M01,False
16,7,500.0,750.0,23,368,37.13424838002515,0.5001639554587997,-0.6281871689585765,-0.1074350910934978,110.2684967600503,26.78736311463105,0.6926824413362805,0.07183610126583978,0.003977502800847545,0.0007622269939961395,0.3796340701101747,0.6298957882815364,CM254-250-M01,CM254-375-M01,False
