N,s,roc_a,roc_b,k,n_exit,r_ring,exit_miss,sep_margin,hole_clear,envelope_mm,opl_m,throughput,ang_t,ang_s,off_z,w0,waist_frac,sku_a,sku_b,feasible,complete_frac,sep_p05,clear_p05,exit_p95,sep_ok,hole_ok,exit_ok,robust
12,5,1000.0,1500.0,17,204,58.73875613443195,0.0577804809056218,0.2891647534132664,1.2080347472056303,153.4775122688639,23.12266531263582,0.8161953381180392,0.0227171135775442,0.0359447152262126,-0.0014100116209678,0.3385815978563302,0.4160164241622412,CM254-500-M01,CM254-750-M01,False,0.3,0.01738703817627595,0.7780993068469788,,True,True,False,False
12,5,1000.0,1500.0,19,228,47.19497165849725,0.000489924047732,0.0042506411652566,0.1886237283780056,130.3899433169945,20.76645164598147,0.7968302765754722,0.0272625998450607,0.0388125954831054,-0.0030048455969611,0.3720843973614069,0.0050327799656847,CM254-500-M01,CM254-750-M01,True,0.34,-0.0466867172623204,-0.06774895015556437,,False,False,False,False
16,7,500.0,750.0,13,208,74.91947757673753,0.0370833842617399,0.3257669663072253,1.124781693977575,185.83895515347507,30.534302249911683,0.8129354506736306,0.0469716657769196,0.0059877772367415,0.0047427464097611,0.3098367455127595,0.1783172691351563,CM254-250-M01,CM254-375-M01,True,0.17,-0.29468676011201445,0.5487543677405321,,False,True,False,False
