design,roc_err_pct,roc_mm,dR_ring_mm,R_ring_mm,feasible,exit_miss_mm,opl_m,throughput,sep_margin_mm,envelope_mm,reason
drone_20m,-1.0,297.0,-0.7200000000000486,71.4354724682012,True,0.0117242601249614,20.178106736015874,0.11494318654646048,0.3509779791936327,178.8709449364024,
drone_20m,-0.5,298.5,-0.3600000000000563,71.79547246820118,True,0.005864649184296676,20.279793511771445,0.11512159264308469,0.3552032837157666,179.59094493640237,
drone_20m,0.0,300.0,-6.394884621840902e-14,72.15547246820117,True,6.080078546597661e-06,20.381480287584917,0.11518103080718299,0.3594648089154112,180.31094493640234,
drone_20m,0.5,301.49999999999994,0.3599999999999284,72.51547246820117,True,0.005851772718173814,20.48316706345685,0.11512209277577337,0.36376195426705127,181.03094493640234,
drone_20m,1.0,303.0,0.7199999999999207,72.87547246820117,True,0.01170859696323352,20.584853839387744,0.11494573548072577,0.36809412835125477,181.75094493640233,
drone_25m,-1.0,396.0,-0.7200000000000486,71.03831729514633,True,0.023122961037828012,24.525016019568795,0.07035850751740916,0.4062412298365353,178.07663459029266,
drone_25m,-0.5,398.0,-0.3600000000000563,71.39831729514633,True,0.011561030901294067,24.649300045621192,0.070849371899165,0.4099371227837201,178.79663459029265,
drone_25m,0.0,400.0,-6.394884621840902e-14,71.75831729514633,True,2.9373098146984873e-07,24.773584071616256,0.07101340501310824,0.4136320490010851,179.51663459029265,
drone_25m,0.5,401.99999999999994,0.3599999999999284,72.11831729514631,True,0.011560815094322933,24.89786809755553,0.07084987503497264,0.41732601031662453,180.23663459029262,
drone_25m,1.0,404.0,0.7199999999999207,72.4783172951463,True,0.023120712890388247,25.02215212344055,0.07036258259982067,0.4210190085944171,180.9566345902926,
drone_16cm,-1.0,99.0,-0.6200000000000507,60.89873916634684,True,0.12233719132933714,20.433698830642147,0.05616577360184586,0.4154617511398079,157.7974783326937,
drone_16cm,-0.5,99.5,-0.31000000000005734,61.20873916634683,True,0.06117492430864058,20.53771106045526,0.072532035097714,0.4205266551947372,158.41747833269366,
drone_16cm,0.0,100.0,-6.394884621840902e-14,61.518739166346826,True,5.038674845147374e-07,20.641723290134582,0.07893810993486497,0.42201923856436774,159.03747833269364,
drone_16cm,0.5,100.49999999999999,0.30999999999992944,61.82873916634682,True,0.06118351381426808,20.745735519580204,0.07259806251416319,0.4236013724319879,159.65747833269364,
drone_16cm,1.0,101.0,0.6199999999999228,62.13873916634681,True,0.12237098980241104,20.849747748696128,0.05657625776850271,0.42527971272413745,160.27747833269362,
