design,M2,feasible,sep_margin_mm,hole_margin_mm,w_max_mm,throughput,exit_miss_mm,reason
drone_20m,1.0,True,0.5097469522784064,1.7181808443846132,0.32616659197316566,0.8666920568516172,6.887857958275197e-08,
drone_20m,1.05,True,0.4913788888960784,1.7179076442772587,0.34246624339025705,0.8666920568516172,6.887857958275197e-08,
drone_20m,1.1,True,0.4728436131588928,1.7176214094705844,0.3587662794627184,0.8666920568516172,6.887857958275197e-08,
drone_20m,1.2,True,0.43531016220312757,1.7170100003581918,0.39136731332677477,0.8666920568516172,6.887857958275197e-08,
drone_20m,1.3,True,0.3972154947899377,1.7163469627489503,0.4239693829779215,0.8666920568516172,6.887857958275197e-08,
drone_25m,1.0,True,0.405082033994852,3.3884423560677535,0.3603941416968329,0.8393835224914328,9.988547732701868e-08,
drone_25m,1.05,True,0.39120498691598315,3.383287806833903,0.36049688200480307,0.8393835224914328,9.988547732701868e-08,
drone_25m,1.1,True,0.377185664437346,3.377288672546813,0.36114219392305863,0.8393835224914328,9.988547732701868e-08,
drone_25m,1.2,True,0.34867665105402956,3.3648040916980513,0.36256151362386685,0.8393835224914328,9.988547732701868e-08,
drone_25m,1.3,True,0.3172084886598323,3.3517280689153046,0.3642468236456559,0.8393835224914328,9.988547732701868e-08,
drone_16cm,1.0,True,0.4220192385641406,1.6497170210992635,0.39375702645431737,0.845282780568676,5.038677835679632e-07,
drone_16cm,1.05,True,0.41958579057770273,1.6452651334749664,0.39693238379812,0.845282780568676,5.038677835679632e-07,
drone_16cm,1.1,True,0.41704772863946704,1.6406531861339386,0.40023557181870967,0.845282780568676,5.038677835679632e-07,
drone_16cm,1.2,True,0.41166470446516557,1.6309724698306742,0.4072128766130403,0.845282780568676,5.038677835679632e-07,
drone_16cm,1.3,True,0.4058842667138731,1.6207204821422272,0.41466376460139387,0.845282780568676,5.038677835679632e-07,
