sku,N,chord_skip,n_exit,opl_m,envelope_mm,wavelength_nm,grade,feasible_nominal,reason,w_hole_mm,w_max_mm,min_sep_mm,sep_margin_mm,hole_margin_mm,ap_margin_mm,exit_miss_mm,throughput,mc_complete_frac,walk_p95_mm,min_sep_p05_mm,overlap_frac,hole_clear_p05_mm,sep_ok,hole_ok,exit_ok,robust,robust_trim
CM508-150-M01,8,3,152,19.04050608132969,181.5872952321308,2121.8,flight,True,,0.3562553742922949,0.4250391722324146,1.6159810713266523,0.8649115352348318,3.799376955296333,10.307584111514993,6.821996664334296e-06,0.8597827386651318,1.0,0.4717030255288353,1.0206124582095781,0.0,3.3126226823555434,True,True,True,True,True
CM508-150-M01,8,3,152,19.04050608132969,181.5872952321308,2121.8,research,True,,0.3562553742922949,0.4250391722324146,1.6159810713266523,0.8649115352348318,3.799376955296333,10.307584111514993,6.821996664334296e-06,0.8597827386651318,1.0,1.4880524442412428,0.3529982872704973,0.15,2.3232614890723187,False,True,False,False,False
CM508-500-M01,7,2,105,11.608875157300508,187.41242054661785,2121.8,flight,True,,0.4686314793449471,0.48706879913083406,1.5255084679267983,0.7284094081378114,5.563721721623663,5.394356607874705,2.204549337932697e-07,0.9011780305680496,1.0,0.47316033184192036,1.0339171264295248,0.02,5.338452321350383,True,True,True,True,True
CM508-500-M01,7,2,105,11.608875157300508,187.41242054661785,2121.8,research,True,,0.4686314793449471,0.48706879913083406,1.5255084679267983,0.7284094081378114,5.563721721623663,5.394356607874705,2.204549337932697e-07,0.9011780305680496,1.0,2.1478262138207924,0.42965858328173195,0.37,3.3785413997360227,False,True,False,False,False
