design,process,cost_usd,tilt_mrad,rring_mm,complete_frac,min_sep_p05_mm,hole_clear_p05_mm,walk_p95_mm,sep_ok,hole_ok,exit_ok,survives
hardened_15m (15.3 m),CNC precision (flight),600-1200,0.1,0.02,1.0,1.0777949534070528,1.2551629140222025,0.37884075035069303,True,True,True,True
hardened_15m (15.3 m),CNC standard,250-600,0.5,0.1,1.0,0.35510152814202756,0.19906387599389117,1.2379921577548398,False,True,False,False
hardened_15m (15.3 m),SLA (tough resin),60-150,1.5,0.15,1.0,0.29551977511995825,-0.7441289480884639,3.16044836849687,False,False,False,False
hardened_15m (15.3 m),MJF/SLS (PA12),80-200,2.5,0.25,0.79,0.12821071577441753,-0.9081536274091704,4.818282694184386,False,False,False,False
hardened_15m (15.3 m),FDM (PLA/PETG),20-60,4.0,0.3,0.35,0.0,-0.8994612697206946,5.774099506455305,False,False,False,False
hardened_15m (15.3 m),printed + machined seats,150-350,0.3,0.1,1.0,0.48361154931956823,0.6405123207731094,0.8830547400407239,False,True,True,False
