sku,N,chord_skip,n_exit,opl_m,envelope_mm,wavelength_nm,grade,feasible_nominal,reason,w_hole_mm,w_max_mm,min_sep_mm,sep_margin_mm,hole_margin_mm,ap_margin_mm,exit_miss_mm,throughput,mc_complete_frac,walk_p95_mm,min_sep_p05_mm,overlap_frac,hole_clear_p05_mm,sep_ok,hole_ok,exit_ok,robust,robust_trim
CM254-750-M01,12,5,204,28.99385350390421,183.1404889696756,1512.2,flight,True,,0.4264031276304151,0.42964729283618636,1.238367904197293,0.38895270985863284,1.369346983204899,0.3288724736275306,0.07971818902052485,0.7610882856713017,0.99,0.4913741380013729,1.0078237912593149,0.0,0.8265972380949729,True,True,True,True,True
CM254-750-M01,12,5,204,28.99385350390421,183.1404889696756,1512.2,research,True,,0.4264031276304151,0.42964729283618636,1.238367904197293,0.38895270985863284,1.369346983204899,0.3288724736275306,0.07971818902052485,0.7610882856713017,0.42,2.1251119259003444,0.0,0.4,-0.3514543388569385,False,False,False,False,False
CM254-200-M01,16,7,176,24.774440244436025,179.52159848102542,1512.2,flight,True,,0.3222761516416519,0.3325335806419983,1.2439236196619075,0.6241646527642739,4.6948887561529755,0.6937863001431293,9.413935937745957e-07,0.8393835224782132,1.0,0.3949438884999527,0.8584594949183894,0.02,4.245058188467272,True,True,True,True,True
CM254-200-M01,16,7,176,24.774440244436025,179.52159848102542,1512.2,research,True,,0.3222761516416519,0.3325335806419983,1.2439236196619075,0.6241646527642739,4.6948887561529755,0.6937863001431293,9.413935937745957e-07,0.8393835224782132,0.84,1.4347935736629378,0.36647659627126866,0.1,2.745116295015585,False,True,False,False,False
CM254-500-M01,12,5,204,20.66237996156646,140.85926816942373,1512.2,flight,True,,0.30794311667182583,0.43640342324019216,1.4663297091703973,0.6203922326935283,2.5329613194005893,0.38545300998515053,1.5865516497148734e-06,0.8161953380747085,1.0,0.47476917907622296,1.0847614756564201,0.0,2.1519663283971076,True,True,True,True,True
CM254-500-M01,12,5,204,20.66237996156646,140.85926816942373,1512.2,research,True,,0.30794311667182583,0.43640342324019216,1.4663297091703973,0.6203922326935283,2.5329613194005893,0.38545300998515053,1.5865516497148734e-06,0.8161953380747085,0.56,1.937751383539004,0.0,0.13,1.085441780309249,False,True,False,False,False
CM254-150-M01,16,7,144,20.38015540178735,180.3015598172956,1512.2,flight,True,,0.4566802923337354,0.5802203133809042,1.506741996643623,0.7095047735829907,1.9225749490390989,2.663903569553291,3.951572456217701e-07,0.8666918981953802,1.0,0.27529745654833443,1.2287120218152205,0.0,1.511324790868707,True,True,True,True,True
CM254-150-M01,16,7,144,20.38015540178735,180.3015598172956,1512.2,research,True,,0.4566802923337354,0.5802203133809042,1.506741996643623,0.7095047735829907,1.9225749490390989,2.663903569553291,3.951572456217701e-07,0.8666918981953802,1.0,0.9262238471869947,0.8385862380138213,0.02,0.7628408210373161,True,True,False,False,True
CM254-150-M01,13,5,143,16.60249771134903,160.17054260057398,1512.2,flight,True,,0.3039131519961039,0.39130583514767714,1.1777046620048275,0.5777314547475261,3.2825155521054277,1.9805233679256755,0.04434065630794494,0.8314000899591815,1.0,0.3339206322091532,1.0008356793966573,0.0,2.953980630591132,True,True,True,True,True
CM254-150-M01,13,5,143,16.60249771134903,160.17054260057398,1512.2,research,True,,0.3039131519961039,0.39130583514767714,1.1777046620048275,0.5777314547475261,3.2825155521054277,1.9805233679256755,0.04434065630794494,0.8314000899591815,1.0,1.122424758245384,0.3420162608932864,0.15,2.1921885608386806,False,True,False,False,False
CM254-150-M01,10,3,190,14.85313827497906,132.62880689021637,1512.2,flight,True,,0.24863156933124644,0.2845571875956494,0.932574520338307,0.40546140700032307,1.7408760411420583,2.1552214642573784,8.423587801939016e-07,0.8277082323621423,1.0,0.4805807717431403,0.6391479092268989,0.0,1.4745235722247545,True,True,True,True,True
CM254-150-M01,10,3,190,14.85313827497906,132.62880689021637,1512.2,research,True,,0.24863156933124644,0.2845571875956494,0.932574520338307,0.40546140700032307,1.7408760411420583,2.1552214642573784,8.423587801939016e-07,0.8277082323621423,0.96,1.8334171984576348,0.23077913464472044,0.3,0.4258624517755042,False,True,False,False,False
CM254-250-M01,12,5,132,13.638937109426903,142.9701877322692,1512.2,flight,True,,0.283950469330171,0.3261064817831133,1.5362182990155808,0.8967988644151244,0.6600185896515973,3.3903700263438292,1.1951231457113935e-06,0.8771602801460274,1.0,0.2724860995258668,1.1640226259733977,0.0,0.4011472704514028,True,True,True,True,True
CM254-250-M01,12,5,132,13.638937109426903,142.9701877322692,1512.2,research,True,,0.283950469330171,0.3261064817831133,1.5362182990155808,0.8967988644151244,0.6600185896515973,3.3903700263438292,1.1951231457113935e-06,0.8771602801460274,1.0,1.0656871680665787,0.6456731300238282,0.03,-0.2113529526782182,False,False,False,False,False
