N,s,roc_a,roc_b,r_ring,k,n_exit,res_t,res_s,opl_est,ang_t,ang_s,off_z,w0,waist_frac,exit_miss,sku_a,sku_b,feasible,reason,opl_m,hole_clear,sep_margin,w_max,envelope_mm,throughput
12,5,100.0,150.0,48.3065740668104,33,396,0.013811949285697622,0.05095153626767335,37.26532564934415,0.020224294371871787,0.020229699469367986,5.532110719180073e-05,0.3468790443665958,0.550810547372231,2.970408792554486,CM254-050-M01,CM254-075-M01,False,no closure (miss 2.97),,,,,,
12,5,100.0,150.0,48.55697040934318,31,372,0.013275635233396699,0.0051153624141111464,34.88896265891499,0.019195176011504077,0.023084789384239912,0.00020889328130731867,0.26437985276402676,0.5932224556095712,1.9679523039363776e-05,CM254-050-M01,CM254-075-M01,False,miss=0.000 clear=0.57 sep=-1.78 env=133,34.874903047385914,0.5703178080291749,-1.7781251877628457,1.040455063310748,133.11394081868636,0.6899158648955463
12,5,100.0,150.0,49.889999999987864,29,348,0.02097618223610631,0.019144449842505296,33.54026747359073,0.02,0.02,0.0,0.35,0.55,100000.0,CM254-050-M01,CM254-075-M01,False,no closure (miss 100000.00),,,,,,
12,5,100.0,150.0,41.868757707347314,27,324,0.0016754072778883966,0.038644192120790066,26.202260337188402,0.027725801787685737,0.027265084689451508,0.0008403222606666484,0.2000472981965981,0.6871176359742186,0.13021753934156405,CM254-050-M01,CM254-075-M01,False,miss=0.130 clear=0.30 sep=-0.36 env=120,26.188979674318237,0.30002826727334875,-0.36095228337852625,0.3873831853296248,119.73751541469463,0.7238568640376019
12,5,100.0,150.0,49.90799999998786,21,252,0.030147881443648217,0.00937553806621061,24.29654277376524,0.02,0.02,0.0,0.35,0.55,100000.0,CM254-050-M01,CM254-075-M01,False,no closure (miss 100000.00),,,,,,
12,5,100.0,150.0,38.804048376963884,25,300,0.005147165316019553,0.014573733082572815,22.485594125014497,0.03843314119577598,0.026128255302566197,0.0009745234819679895,0.20000004758612677,0.6388563915803591,0.18482831581221848,CM254-050-M01,CM254-075-M01,False,miss=0.185 clear=0.30 sep=-0.40 env=114,22.473064361253037,0.30000058941662977,-0.40193442841027865,0.3695389159790414,113.60809675392777,0.741448480636736
12,5,100.0,150.0,41.24939778402238,23,276,0.009912185180651178,0.0026760620907193555,21.991998300373726,0.034024571694062256,0.025139616504597256,-0.0010027886494661685,0.2003117986469216,1.0029896828711848,0.1485251274162231,CM254-050-M01,CM254-075-M01,False,miss=0.149 clear=0.32 sep=-0.43 env=118,21.975248124217615,0.32246355443533337,-0.4334829519679591,0.40368405486410947,118.49879556804476,0.7594676195679024
12,5,100.0,150.0,47.90159054337698,19,228,0.003186249496318183,0.002741877297063766,19.975840641676758,0.02716970207456315,0.015583672456481706,0.0001976774261487838,0.2977223821251338,0.4765897042237701,1.5759646978783806,CM254-050-M01,CM254-075-M01,False,no closure (miss 1.58),,,,,,
12,5,150.0,200.0,66.8954793288084,33,396,0.002231463608284301,0.035404556966353695,51.170206561691494,0.015809286551608535,0.024514924543098338,0.00034445185333336226,0.3195824046941563,0.5621853021068166,5.895711539682328e-05,CM254-075-M01,CM254-100-M01,False,miss=0.000 clear=0.40 sep=-1.17 env=170,51.14756993700938,0.3976378424057816,-1.1748531041752661,0.6317792601549244,169.7909586576168,0.6735469118288683
12,5,150.0,200.0,64.28010200715471,31,372,0.004043445282382763,0.017857447396840698,46.19043391980981,0.018676942474916816,0.02435578471219215,0.00019165319996018433,0.3264058725136414,0.5188950307297973,2.205819260471908e-05,CM254-075-M01,CM254-100-M01,False,miss=0.000 clear=0.34 sep=-0.92 env=165,46.16641863320819,0.3421119687214107,-0.9200280334004063,0.5902663365984127,164.56020401430942,0.6899158648955463
12,5,150.0,200.0,72.58745115159576,25,300,0.0014357750536913017,0.005007380595484889,42.06297877223048,0.019981793395447374,0.02418227588766743,0.0003831647122213818,0.3018145371452576,0.505417204145024,2.585044797134506e-05,CM254-075-M01,CM254-100-M01,False,miss=0.000 clear=0.62 sep=-1.74 env=181,42.03633589745822,0.6151277084707136,-1.7434398286879744,0.9910570173316187,181.17490230319152,0.741448480636736
12,5,150.0,200.0,68.9253853954118,23,276,0.00480960234627581,0.02241384848922401,36.74859396930923,0.02210999331767432,0.017831223247589324,2.5697296263094794e-05,0.3519583134477137,0.5493635949210056,3.204413972495932e-05,CM254-075-M01,CM254-100-M01,False,miss=0.000 clear=0.78 sep=-0.71 env=174,36.72140366601999,0.7768413746603386,-0.7070643196825718,0.7917391919453812,173.8507707908236,0.7594676195679024
12,5,150.0,200.0,62.50828017216601,27,324,0.0012127410803568495,0.07660330445609098,33.73458084021282,0.0213951356241307,0.020408086921926707,-0.00010626677287734515,0.26990208263441273,0.5619923743788491,1.145055485776134,CM254-075-M01,CM254-100-M01,False,no closure (miss 1.15),,,,,,
12,5,150.0,200.0,50.96680764834966,29,348,0.008230803063208114,0.05054977239331215,33.424634561074086,0.0347511102278137,0.027877804072042732,-0.0003611407001299639,0.3483456881530692,0.5891340386419963,3.4355174720686557,CM254-075-M01,CM254-100-M01,False,no closure (miss 3.44),,,,,,
12,5,150.0,200.0,71.0094047851612,21,252,0.00011292588983913276,0.01717225620363827,32.261999872110664,0.020648220515596505,0.018990076067968858,8.16798034861751e-06,0.3485964428244413,0.5393843108762311,0.43561389037379744,CM254-075-M01,CM254-100-M01,False,miss=0.436 clear=0.30 sep=-0.83 env=178,34.53934433692784,0.3000000307521189,-0.8285933249237195,0.9161226734234614,178.0188095703224,0.7779246707428729
12,5,150.0,200.0,60.82544291024705,19,228,0.003294876226773269,0.06851716340634262,26.790671440934055,0.04123224718819246,0.024894342545715542,-2.3921686470158807e-05,0.352033530680853,0.552085445264447,2.6357857503576076e-06,CM254-075-M01,CM254-100-M01,False,miss=0.000 clear=1.38 sep=-1.14 env=158,26.76627649525207,1.381056516560312,-1.138740265436889,0.6354044045340543,157.6508858204941,0.7968302765754722
12,5,200.0,250.0,60.9084016951913,31,372,0.007024398599034143,0.065050580887414,43.7527771401484,0.026219198197998284,0.0356157996445705,-0.0024737655081877767,0.2612560880894501,0.48289258632126497,0.007262826443330089,CM254-100-M01,CM254-125-M01,False,miss=0.007 clear=0.85 sep=-0.47 env=158,43.74461731125842,0.8485620462609968,-0.47317582624132554,0.3640350790086688,157.8168033903826,0.6899158648955463
