input_angle_sag,w0_waist,waist_frac,family,sku,roc,N,chord_skip,R_ring,n_target,mode_s,input_offset_z,input_angle,M2,margin_want,size_class,envelope_max,opl_min,feasible,reason,opl_m,n_exit,throughput,exit_miss_mm,hole_margin_mm,ap_margin_mm,sep_margin_mm,min_sep_mm,w_max_mm,w_hole_mm,H_req_mm,stab_tan,stab_sag,aoi_deg,early_exit,envelope_mm,polished,grade,mc_complete_frac,walk_p95_mm,drift_p95_mrad,min_sep_p05_mm,overlap_frac,hole_clear_p05_mm,sep_ok,hole_ok,exit_ok,robust,robust_trim
0.0443145467791047,0.3424392616237622,1.041327606082321,one_inch,CM254-200-M01,400.0,16,7,71.76054025701211,176,sin,0.0712678569783169,0.0332437736412964,1.0,0.55,D180,180.0,18.0,True,,24.77435092044031,176,0.839383522483776,1.4258766066052316e-07,4.552499186633138,0.890163568385768,0.613358395618235,1.2399835313307794,0.3848410667869735,0.3605018205675013,22.87655869118072,0.6410041896376022,0.6549638533374698,11.384167640354775,0.0,179.52108051402422,True,flight,1.0,0.39357417271230094,3.2570525690463072,0.8546786380446599,0.02,4.102433403132739,True,True,True,True,True
0.0312428731608362,0.3871832472198507,0.5733006508170153,one_inch,CM254-150-M01,300.0,16,7,72.15156920235947,144,sin,0.5722382110039212,-0.0351118984343382,1.0,0.55,D190,190.0,19.5,True,,20.380378148788598,144,0.8666920564066098,7.729480824642369e-07,1.803266994109089,3.224303649417111,0.624861251116615,1.3725108490408249,0.4951521065764137,0.3910935319897072,18.01264017057114,0.518888317734154,0.5373915511932138,11.32647208389813,0.0,180.3031384047189,True,flight,1.0,0.26648676795803494,2.850313992164129,1.1702839827029077,0.0,1.4181575702763936,True,True,True,True,True
0.055136078427505,0.3708525768681072,0.1402468783338414,one_inch,CM254-150-M01,300.0,13,5,62.08223343858975,143,sin,0.0626457806815699,-0.0386387914763034,1.0,0.55,D170,170.0,16.0,True,,16.601700588065754,143,0.867559591320447,4.463453681114699e-05,3.399134055662153,1.496969217765825,0.5666793576300937,1.283909079863338,0.4511708457954042,0.3710326261261847,22.72370630994075,0.5859669163501928,0.6384921231556214,20.8839033063616,0.0,160.1644668771795,True,flight,1.0,0.3479082918457706,2.704626405746802,1.1025348502814656,0.0,3.053731161543115,True,True,True,True,True
0.0315461542857741,0.2879092451998916,1.0826956284601166,one_inch,CM254-250-M01,500.0,12,5,53.48522698111387,132,sin,-0.0696913318922436,0.0337269472066653,1.0,0.55,D150,150.0,12.0,True,,13.638971089244045,132,0.877160280167946,6.981173268484791e-07,0.6589657998169014,3.3943752463135723,0.9455937039910056,1.5465664661075147,0.3083299484536571,0.3055389578269657,16.82211041125334,0.7859925281142128,0.8005154946517344,15.031581264581492,0.0,142.97045396222774,True,flight,1.0,0.27254154332127484,2.236611828734147,1.1725263791883558,0.0,0.4008037818881512,True,True,True,True,True
0.0342912277309757,0.2170551966293693,0.8214439179236269,one_inch,CM254-100-M01,200.0,14,5,66.53668583448749,322,sin,0.1994415933502547,0.0432034906705609,1.0,0.55,D170,170.0,16.0,True,,38.60617198390997,322,0.7253067519933272,3.1999151509676824e-06,1.500897545461592,4.096642391462211,0.5519108311905434,1.0854911779595315,0.3278345234513355,0.2477495222933465,14.638304113968134,0.3356394539009253,0.4592410403940556,25.73145205786732,0.0,169.07337166897497,True,flight,1.0,0.7491513031656085,10.633145742424587,0.22097494543760457,0.33,0.4807398224153848,False,True,True,False,False
0.0709353527350975,0.2,1.086239619677099,one_inch,CM254-075-M01,150.0,12,5,60.65850677577826,228,sin,-0.0182772012089414,0.0517948428668427,1.0,0.55,D160,160.0,14.0,True,,26.71776568343664,228,0.7968302765511117,1.0200500982519368e-06,3.453735936119908,1.0810604839250324,0.5638445349630354,1.1083921453921506,0.3209997184112567,0.2609011813938118,22.75990386412877,0.1906604027032067,0.2459003472091979,15.212476969960257,0.0,157.31701355155653,True,flight,1.0,1.1578380008205365,22.46300453357559,0.18614142482103574,0.31,1.7391902500138787,False,True,False,False,False
0.0501092596904044,0.2,1.0,one_inch,CM254-075-M01,150.0,11,5,59.36,187,sin,0.0,0.0502815145127263,1.0,0.55,D160,160.0,14.0,True,,21.974614229825995,187,0.057892340979677,0.2917460010222867,1.6198577614544445,2.7912469627411767,0.1448362474458669,0.6684860268408727,0.3017234314138505,0.2528296700619783,18.143205549412443,0.2082553909680509,0.2248465334456378,8.400055155385735,0.0,154.72,False,flight,1.0,0.8743642997869497,14.88023317469903,0.30370683924342023,0.27,0.8077742637319246,False,True,True,False,False
0.05159959996833,0.2,0.563730612636901,one_inch,CM254-050-M01,100.0,10,3,70.05710381988584,190,sin,0.7884929133720722,-0.0640732605675582,1.0,0.55,D180,180.0,18.0,True,,21.53741088580154,190,0.6313626669372022,0.0798334220145527,1.6999655605853736,0.3648822356402466,0.550037666770246,1.1472158857569636,0.8428044524286172,0.2169657768092324,18.322734811297217,-0.4004210988360361,0.0828804129308145,36.0417594064705,0.0,176.11420763977168,True,flight,0.9,2.6225101053480473,1305.3534123186955,0.06261171532716632,0.59,-0.040585789293703656,False,False,False,False,False
0.048378666582902,0.2,1.1897014930268772,one_inch,CM254-050-M01,100.0,13,6,61.52320458470059,169,sin,0.0559811524171693,-0.0500634941148208,1.0,0.55,D160,160.0,14.0,True,,20.643217609633464,169,0.8452827805058054,1.7512267546328451e-06,2.4437135535422265,2.5544156496564643,0.5804898652409045,1.192456834949235,0.3996146651471237,0.2767408531809383,18.856273803329746,-0.2310875057338686,-0.2121027722770383,7.207392692315078,0.0,159.0464091694012,True,flight,1.0,1.5586370519912291,46.02051828370257,0.13092348366038706,0.34,0.6195927834509213,False,True,False,False,False
0.0630859822045811,0.2,1.0320815993432562,one_inch,CM254-075-M01,150.0,12,5,67.49468084135628,156,sin,-0.0390946634996379,-0.0483272338382703,1.0,0.55,D180,180.0,18.0,True,,20.340793947226164,156,0.8475993594390735,0.0191439753085444,0.8621556506016688,0.7144654726282962,0.5564725745162211,1.102151244276468,0.305706095986128,0.2671586018982376,23.11088662052748,0.0991262652037919,0.1614952880051304,15.19469980893645,0.0,170.98936168271257,True,flight,1.0,0.857257397311073,17.593919950150106,0.165029669566039,0.32,0.019420316841858954,False,True,True,False,False
