design,complete_frac,opl_mean_m,opl_std_m,throughput_mean,walk_p95_mm,min_sep_p05_mm,hole_clear_p05_mm,drift_p95_mrad
25.7 m tri-gas (spec_D190_26m),1.0,25.687152514956065,0.01041406421377741,0.8451855051777403,0.3594138860390824,1.2258673557845685,0.48695631086954116,2.8139085108914292
15.3 m sparse (spec_D180_15m),1.0,15.266613523415408,0.0065732122463527205,0.8977288493394988,0.37024532021074624,1.2889353758688227,1.2195456059282064,4.2897062307964156
9.1 m half-inch mini (spec_D130_9m),0.99,9.047961564292642,0.5037154775913922,0.8988729269524662,0.5342005749396128,0.5353077415304017,0.3517718786872234,15.301785652021323
