input_angle_sag,w0_waist,waist_frac,family,sku,roc,N,chord_skip,R_ring,n_target,mode_s,input_offset_z,input_angle,M2,size_class,envelope_max,opl_min,feasible,reason,opl_m,n_exit,throughput,exit_miss_mm,hole_margin_mm,ap_margin_mm,sep_margin_mm,min_sep_mm,w_max_mm,w_hole_mm,H_req_mm,stab_tan,stab_sag,aoi_deg,early_exit,polished,envelope_mm,grade,mc_complete_frac,walk_p95_mm,drift_p95_mrad,min_sep_p05_mm,overlap_frac,hole_clear_p05_mm,sep_ok,hole_ok,exit_ok,robust,robust_trim
0.0294187400756526,0.2805656516129226,1.0037488965931374,one_inch,CM254-150-M01,300.0,16,7,72.15525163899,144,sin,-0.0447766209857017,0.0301723925102091,1.1,D190,190.0,19.5,True,,20.381418104634665,144,0.866692056850082,3.009536616726677e-07,1.9387841086625184,3.871187389688562,0.3982578553378606,1.0367063200115263,0.3409049157580132,0.3106203288070839,16.424072511881647,0.5185786754396766,0.5376329189154649,11.309694393517304,0.0,True,180.31050327798,research,1.0,0.9222879101165772,9.99876426126884,0.7185898853954771,0.02,0.9440098909931414,True,True,True,True,True
0.0352754452338904,0.2287235654329437,1.0609272504451104,one_inch,CM254-100-M01,200.0,14,5,66.53353771724613,322,sin,-0.5640151305978144,0.0398788327889204,1.1,D170,170.0,16.0,True,,38.60434706502827,322,0.7253067522275207,6.296849013761375e-07,1.065971170736504,4.533161247385154,0.3683207872756791,0.981683227723236,0.3447902931043528,0.2715592640268333,14.2756723308185,0.3355456517798474,0.4593551902171955,25.729315395996984,0.0,True,169.06707543449227,research,1.0,1.8691124390446474,36.9403853687401,0.035294061125522976,0.86,-0.5459861017259485,False,False,False,False,False
0.0585648493975365,0.2049028552407623,0.6869950115714769,one_inch,CM254-050-M01,100.0,14,5,76.87293740172856,238,sin,-0.346775072880315,-0.0272083290940116,1.1,D190,190.0,19.5,True,,32.96782394684937,238,0.7888977318635683,1.1795783155473357e-05,1.6426215734991216,2.275712361713792,0.3860552281623488,1.2252199990625663,0.5048441672204785,0.2386042843912998,22.903363662102624,-0.5379590980470887,-0.2477587582099933,25.77524380482796,0.0,True,189.74587480345716,research,0.63,4.803450074777191,2680.9438643327376,0.05597091008760348,0.7,-1.1355333001844357,False,False,False,False,False
0.022558337714157,0.436677279947304,1.055739592597584,one_inch,CM254-750-M01,1500.0,12,5,73.57024448483779,204,sin,0.0096734132577205,0.0228575952176199,1.1,D190,190.0,19.5,True,,28.99385350390421,204,0.765663137627776,0.0797181890210416,1.3497193142176052,0.3095407286501803,0.3500198383226551,1.238367904197224,0.4493401391252915,0.4459472778895472,21.659544007286662,0.9018834084834368,0.9085198471150052,15.024998916441753,0.0,True,183.1404889696756,research,0.42,2.1251119259003444,3102.101378259858,0.0,0.4,-0.3703711585176765,False,False,False,False,False
0.0516980752372433,0.2937567932186455,1.5,one_inch,CM254-200-M01,400.0,12,5,69.91986206295505,204,sin,0.0439055236312206,-0.0316416573409753,1.1,D180,180.0,18.0,True,,27.55520878757105,204,0.2146370986322334,0.2822188465648574,2.5448927447414187,0.3003286817058104,0.35002562170967,1.0071537638975694,0.3671788035428814,0.3453390825271926,25.149635106280407,0.6501409309095081,0.6739958617512998,15.141787722527226,0.0,True,175.8397241259101,research,0.86,1.251004094871938,2043.7104654919128,0.0,0.59,1.9897024656732913,False,True,False,False,False
0.0453652164358975,0.2,1.1499871355627742,one_inch,CM254-075-M01,150.0,12,5,68.08168284545485,204,sin,-0.0328461821700544,0.0543722596464711,1.1,D180,180.0,18.0,True,,26.830832514942145,204,0.8161953298268482,2.011129630018121e-05,2.4271792736024627,1.859957288781814,0.3535852576328976,0.9257270082538124,0.3472014319788525,0.2821913223837148,18.051902494051117,0.0912315181109396,0.1542185506051845,15.07650480361778,0.0,True,172.1633656909097,research,1.0,2.522365668990886,52.34506570638663,0.057204359688383825,0.95,0.14781771925476384,False,True,False,False,False
0.0407611881556485,0.2579470731502964,1.144288486453929,one_inch,CM254-200-M01,400.0,16,7,71.75926930006798,176,sin,-0.0061914589570376,-0.030504784002372,1.1,D180,180.0,18.0,True,,24.77391250059197,176,0.8393835224908255,3.099661849479376e-07,3.8915524063578144,1.745155702948269,0.4249343398167311,1.0952285620486142,0.3815828895402411,0.3058703508488163,21.57993462100614,0.6411142082934389,0.6550198463090671,11.36386904969293,0.0,True,179.51853860013597,research,1.0,1.3423656071541097,11.049052021175966,0.2171650439978372,0.22,2.433874804110561,False,True,False,False,False
0.0522264449724588,0.2,0.6859447211788696,one_inch,CM254-075-M01,150.0,16,7,69.6619871518765,176,sin,-0.0266103380510456,-0.0563261600457993,1.1,D180,180.0,18.0,True,,24.049845782264235,176,0.8393835128756378,1.7785775147447043e-05,4.784083516501655,0.4710191205405589,0.3731833960043489,1.0610410662848844,0.3696954565369615,0.2349904392905011,21.027118846571213,0.0704415111667354,0.1070447011445178,11.457435334051851,0.0,True,175.323974303753,research,0.91,2.5378819535875445,942.2086222243973,0.12661462489696867,0.51,2.2352600645690224,False,True,False,False,False
0.0644558419848167,0.2,0.7336371885307076,one_inch,CM254-050-M01,100.0,12,5,51.3842663050298,228,sin,0.1902039567642254,0.0664352937963364,1.1,D140,140.0,10.0,True,,22.632801654704128,228,0.7968302735484668,9.665812177607631e-06,1.9526512627014936,2.0211345580972147,0.3508485689417981,0.9731614985408064,0.445113541038022,0.2217837183941066,19.262537272775965,-0.02819064594867,0.0413364601406496,15.172275618740034,0.0,True,138.7685326100596,research,0.88,4.430543430733294,1562.170670412474,0.04975102744766501,0.68,-0.8859565476239273,False,False,False,False,False
0.0350233386733579,0.2,0.6675871845865593,one_inch,CM254-050-M01,100.0,10,3,70.06780286600957,190,sin,0.568670210032522,-0.051200646257087,1.1,D180,180.0,18.0,True,,21.540697253360136,190,0.793709551430045,0.0323570834850285,0.7447721024409639,2.7302806386391403,0.3504653818143379,0.9630922557567808,0.6214746861287268,0.2234364231920871,14.357340403684455,-0.4006998867176972,0.0827015704806913,36.02558511668783,0.0,True,176.13560573201914,research,1.0,4.5738565071983,127.64713784813007,0.029099651508115512,0.92,-0.8060259826958404,False,False,False,False,False
