input_angle_sag,w0_waist,waist_frac,family,sku,roc,N,chord_skip,R_ring,n_target,mode_s,input_offset_z,input_angle,M2,margin_want,size_class,envelope_max,opl_min,feasible,reason,opl_m,n_exit,throughput,exit_miss_mm,hole_margin_mm,ap_margin_mm,sep_margin_mm,min_sep_mm,w_max_mm,w_hole_mm,H_req_mm,stab_tan,stab_sag,aoi_deg,early_exit,envelope_mm,polished,grade,mc_complete_frac,walk_p95_mm,drift_p95_mrad,min_sep_p05_mm,overlap_frac,hole_clear_p05_mm,sep_ok,hole_ok,exit_ok,robust,robust_trim
0.0330898112592165,0.4215103160380047,1.1081775642703864,one_inch,CM254-200-M01,400.0,16,7,69.01358754039495,176,sin,-0.0344698376554666,0.0479008417443363,1.0,0.55,D180,180.0,18.0,True,,23.826005275797712,176,0.8393834840882548,1.2446713208881749e-06,2.228853709197303,0.6045583600876121,0.8590002081894041,1.5715982368851382,0.4841073160918812,0.4383107477563751,18.56610948543284,0.6552898015368785,0.6678229541748404,11.307632886002354,0.0,174.0271750807899,True,flight,1.0,0.4206147550731202,3.475581043203783,1.0218348536883428,0.0,1.7469358808466862,True,True,True,True,True
0.0364824767141216,0.3480389873479736,0.0,one_inch,CM254-150-M01,300.0,16,7,72.15164016989777,144,sin,0.3186827948752534,-0.0369641321535619,1.0,0.55,D190,190.0,19.5,True,,20.38039844963246,144,0.8666920559999989,7.708856721088753e-06,2.1809665529344024,2.502303067358387,0.6510620072484856,1.394628078490748,0.4854839320142689,0.3480389873479736,19.32199477854492,0.5188542657399628,0.5374235303841357,11.346003874599218,0.0,180.30328033979555,True,flight,1.0,0.2792047961358241,2.898598083954251,1.1429914737124822,0.0,1.7388971731825649,True,True,True,True,True
0.0591130962987116,0.3958717323689062,0.5061732972135946,one_inch,CM254-150-M01,300.0,13,5,62.080105640888334,143,sin,0.2003871610254351,-0.0416190877738379,1.0,0.55,D170,170.0,16.0,True,,16.6011326890267,143,0.8675475483109415,0.0010523180338363,3.6551870170122633,0.6563021604949899,0.5538979493230158,1.322441674000412,0.4787173950291379,0.3990327497368806,24.15186265299862,0.5859434046839043,0.6385521059427993,20.903029409977396,0.0,160.16021128177667,True,flight,1.0,0.3712885974794423,2.8407311560205177,1.1515242675027086,0.0,3.369426812582303,True,True,True,True,True
0.0322966254858784,0.3149703656692063,1.0294389168900189,one_inch,CM254-250-M01,500.0,12,5,53.485267148178025,132,sin,-0.0709697844905828,0.0343447815930933,1.0,0.55,D150,150.0,12.0,True,,13.638981403188303,132,0.8771602801632393,9.368067699252332e-07,0.6747757119495037,3.182779918565336,0.8887699103899755,1.583046581933607,0.3512778161779915,0.3349803339139497,17.14927562345767,0.7859910098010738,0.8005178368340775,15.033534208607424,0.0,142.97053429635605,True,flight,1.0,0.2729781464683265,2.2366473069315593,1.2005725611270304,0.0,0.41471980498020933,True,True,True,True,True
0.0371503627463517,0.2549616011387593,0.8442037494694163,one_inch,CM254-100-M01,200.0,14,5,66.54172683953797,322,sin,0.2651092946940274,0.0480285187156344,1.0,0.55,D170,170.0,16.0,True,,38.60909369126738,322,0.7253067522175437,1.0084047010674524e-06,1.6923731937376914,3.3356863340937686,0.5542812069183531,1.1747360176832984,0.4052831586480444,0.2880627121709802,15.449353589946844,0.3357069219706745,0.4591227065824153,25.735006317651973,0.0,169.08345367907594,True,flight,1.0,0.8271474103289884,11.614946748775749,0.22079318553549784,0.34,0.546280925230871,False,True,True,False,False
0.0536024627317046,0.2227277738271466,1.0,one_inch,CM254-075-M01,150.0,11,5,59.36,187,sin,0.0,0.0537867257352076,1.0,0.55,D160,160.0,14.0,True,,21.974603781960965,187,0.0521945828226045,0.3354656077575813,1.7978380038885906,2.16799573817854,0.1219038417342553,0.7141452914531448,0.3448656400398638,0.2852221570211987,19.01071241994785,0.2082148996848764,0.2248867658275927,8.432106829311557,0.0,154.72,False,flight,1.0,0.9171346191265497,15.909637492112719,0.2981325695428613,0.36,0.9033155642186231,False,True,True,False,False
0.0510177956066309,0.2152956647565365,1.0,one_inch,CM254-050-M01,100.0,10,3,70.06,190,sin,0.0,0.067033126700689,1.0,0.55,D180,180.0,18.0,True,,21.538422068828183,190,0.3830306628927541,0.1733167032562619,1.0832111176999586,0.3485074924564983,0.1306949777148456,1.396914718564764,1.0515817232720337,0.2792262379953352,16.872319471538113,-0.4007098028288411,0.0821785514100145,35.994880442568736,0.0,176.12,False,flight,0.79,2.8750247342253177,2068.1904366946687,0.1319019170544888,0.64,-0.1922789815805907,False,False,False,False,False
0.0509339037071458,0.2,1.0949559754755636,one_inch,CM254-050-M01,100.0,13,6,61.524693904113136,169,sin,-0.0444926902489042,-0.0519408968544514,1.0,0.55,D160,160.0,14.0,True,,20.64371570325511,169,0.8452827805667221,6.041311701847025e-07,2.542515754814028,2.1557546833977543,0.650095168222763,1.2545719942624898,0.4048245756061118,0.3016649871143033,19.547434186735394,-0.2311604006349528,-0.2120971815019141,7.238804022116271,0.0,159.04938780822627,True,flight,1.0,1.6352089984511895,48.269866756633334,0.13643166056309575,0.38,0.5476927495051785,False,True,False,False,False
0.0373741269785588,0.2177654512336861,1.0747697474419535,one_inch,CM254-075-M01,150.0,12,5,65.95320931956687,156,sin,-0.1021766855896475,0.0574093272093621,1.0,0.55,D170,170.0,16.0,True,,19.87624573470119,156,0.8563487635991421,3.427015144411086e-07,2.920914586663796,2.354740494117701,0.7005283584047843,1.313943722672848,0.3550841573020153,0.3041645503198146,15.755327751065757,0.1190813138937644,0.1813066602330008,15.040774851667653,0.0,167.90641863913373,True,flight,1.0,0.7612893396327866,14.147331131370583,0.22274527027922197,0.59,1.8424603622383728,False,True,True,False,False
0.0,0.301243272467623,1.0,one_inch,CM254-200-M01,400.0,10,3,64.46000000000001,190,cos,4.52506550769378,0.0455591486248068,1.0,0.55,D170,170.0,16.0,True,,19.81683087188102,190,0.1612729071006218,0.292216937822699,2.1187724377938477,0.224671591551429,0.15229612471989,0.8283844137009843,0.363356914454678,0.3231370701745011,21.52392533878737,0.6781872550930959,0.7887885049272231,36.02141124655725,0.0,164.92000000000002,False,flight,0.96,0.5081765243607712,3.642744346040989,0.6999352897594888,0.03,1.8542734351168841,False,True,True,False,False
-0.0021106003273005,0.2,0.9980053033593304,one_inch,CM254-050-M01,100.0,12,5,51.73641498390455,180,cos,6.094418273232308,0.0603200453990584,1.0,0.55,D140,140.0,10.0,True,,17.990463008946588,180,0.836031021346515,1.436963496475567e-07,0.8563526731052951,4.67921020376597,1.6648508008747958,2.403670561295606,0.3868940265476349,0.2614685492450178,19.30354144857742,-0.0369703544683097,0.0364085179436971,15.176522885869304,0.0,139.4728299678091,True,flight,1.0,1.5963775661973827,39.96333194361591,0.24708509378713003,0.13,-0.9094603817467712,False,False,False,False,False
0.0,0.2607423911165468,1.0,one_inch,CM254-150-M01,300.0,10,3,48.29,190,cos,4.161794191706567,0.0559551083724573,1.0,0.55,D140,140.0,10.0,True,,14.845605135563993,190,0.3851881143708687,0.1729711878654635,1.8148787349597384,1.0995609332590917,0.2344441669880169,0.8210768773373865,0.3251372297610355,0.2796908335363469,20.308073442240563,0.6787712698488237,0.7889069561106005,36.036425956670406,0.0,132.57999999999998,False,flight,1.0,0.5103531622959274,5.016263346390728,0.6256906203471694,0.03,1.5564176922553614,False,True,True,False,False
0.0713239170266719,0.2,1.0051518801500858,one_inch,CM254-050-M01,100.0,12,5,52.39777969275819,132,sin,-0.5315276020289434,-0.0711731958390745,1.0,0.55,D150,150.0,12.0,True,,13.361688834862496,132,0.8771602765087806,1.2056328294600836e-05,2.892690069938635,0.8026286010127706,0.5661729186952271,1.180420785345191,0.3658990292761267,0.2636547921757177,21.173574607920315,-0.0485259798026695,0.0232131084421689,15.279169311626172,0.0,140.79555938551638,True,flight,0.99,1.3893357093997134,40.73967806825453,0.28929191314818065,0.11,0.8373153791348603,False,True,False,False,False
