input_angle_sag,w0_waist,waist_frac,family,sku,roc,N,chord_skip,R_ring,n_target,mode_s,input_offset_z,input_angle,size_class,envelope_max,opl_min,feasible,reason,opl_m,n_exit,throughput,exit_miss_mm,hole_margin_mm,ap_margin_mm,sep_margin_mm,min_sep_mm,w_max_mm,w_hole_mm,H_req_mm,stab_tan,stab_sag,aoi_deg,early_exit,polished,envelope_mm
0.0,0.2,1.0,one_inch,CM254-050-M01,100.0,12,5,51.73000000000039,180,cos,2.352918490053654,-0.023521043562389883,D140,140.0,10.0,False,intermediate spot leaks into hole,17.988271798297323,180,0.04102927415035604,0.11825921548658279,-0.5643719186958671,8.680816907812092,0.40272580541854996,0.9537438362224454,0.30159389036368817,0.23937731968865325,11.308011060695165,-0.034728255105323846,0.03495819358190855,15.03488496446779,0.0,False,139.46000000000078
0.0,0.24536100067549718,1.0,one_inch,CM254-200-M01,400.0,11,3,46.300000000000324,143,cos,5.77158257803229,0.037017723147170625,D140,140.0,10.0,False,ray died at bounce 2 (clipped),0.0,0,0.0,inf,-inf,-inf,-inf,0.0,0.0,0.2565919126152652,0.0,,,,,False,
0.035108335193514376,0.2,1.0,one_inch,CM254-050-M01,100.0,9,4,49.63000000000034,117,sin,0.0,-0.05023006865458666,D140,140.0,10.0,False,never returns to hole,0.0,0,0.0,3.557279976868962,-inf,-inf,-inf,0.0,0.0,0.23781083247139115,0.0,,,,0.0,False,
0.0388382303202546,0.2,1.0,one_inch,CM254-100-M01,200.0,11,3,46.07000000000031,143,sin,0.0,-0.06901540897359221,D140,140.0,10.0,False,never returns to hole,0.0,0,0.0,2.430868080987736,-inf,-inf,-inf,0.0,0.0,0.22000106534515132,0.0,,,,0.0,False,
0.1172779098454621,0.24849739071841062,1.0,one_inch,CM254-025-M01,50.0,11,3,48.230000000000345,165,sin,0.0,-0.02052634266909037,D140,140.0,10.0,False,never returns to hole,0.0,0,0.0,3.329365975796402,-inf,-inf,-inf,0.0,0.0,0.26022045041832437,0.0,,,,0.0,False,
0.06621245591898038,0.23264773566080638,1.0,one_inch,CM254-025-M01,50.0,10,3,46.73000000000033,130,sin,0.0,-0.018493762163682488,D140,140.0,10.0,False,never returns to hole,0.0,0,0.0,4.511554966223919,-inf,-inf,-inf,0.0,0.0,0.24787991598706666,0.0,,,,0.0,False,
0.04208718408603679,0.2,1.0,one_inch,CM254-075-M01,150.0,9,4,51.54000000000036,135,sin,0.0,0.06059426479871642,D140,140.0,10.0,False,never returns to hole,0.0,0,0.0,3.8305067636553534,-inf,-inf,-inf,0.0,0.0,0.24052580638667745,0.0,,,,0.0,False,
0.06425631710451543,0.2550941010802772,1.0,one_inch,CM254-025-M01,50.0,11,4,46.26000000000032,143,sin,0.0,-0.0346921657240016,D140,140.0,10.0,False,never returns to hole,0.0,0,0.0,2.8720245795331976,-inf,-inf,-inf,0.0,0.0,0.2694725638449356,0.0,,,,0.0,False,
0.03867098548884913,0.24449521320141981,1.0,one_inch,CM254-200-M01,400.0,11,3,46.83000000000031,143,sin,0.0,0.0355473739164975,D140,140.0,10.0,False,never returns to hole,0.0,0,0.0,3.6153133955893377,-inf,-inf,-inf,0.0,0.0,0.2560976713169493,0.0,,,,0.0,False,
0.019707173591321996,0.2,1.0,one_inch,CM254-050-M01,100.0,11,5,49.690000000000346,165,sin,0.0,0.028162767743751566,D140,140.0,10.0,False,never returns to hole,0.0,0,0.0,1.624922491923749,-inf,-inf,-inf,0.0,0.0,0.23825077908740522,0.0,,,,0.0,False,
0.027552087877596554,0.2,1.077037000523549,one_inch,CM254-250-M01,500.0,12,5,53.484784187140576,132,sin,-0.06220777401801822,-0.03163469029588804,D150,150.0,12.0,True,,13.63885781696181,132,0.13808490172296006,5.083856432956973e-07,0.46112237226722663,3.9597333728905015,0.5917682027322632,1.3312062187074178,0.4301513390310778,0.24790039817305165,15.929796320749311,0.7860536004636961,0.8003447119434797,15.050261638716572,0.0,True,142.96956837428115
0.05631801791598115,0.2,0.7651242565771857,one_inch,CM254-050-M01,100.0,12,5,52.38781434695318,132,sin,-0.3823329355891787,-0.059765118780447726,D150,150.0,12.0,True,,13.359139454822126,132,0.13808351702310354,0.0005026360940788967,2.1320868985724717,2.719546863227393,0.3504213107530558,0.9569416830442052,0.35013013508530655,0.2244722567435157,18.03894089468486,-0.04782908154991827,0.02286520799359104,15.179615737146811,0.0,True,140.77562869390636
0.0,0.2,1.0,one_inch,CM254-050-M01,100.0,12,5,51.73000000000039,180,cos,2.352918490053654,-0.023521043562389883,D150,150.0,12.0,False,intermediate spot leaks into hole,17.988271798297323,180,0.04102927415035604,0.11825921548658279,-0.5643719186958671,8.680816907812092,0.40272580541854996,0.9537438362224454,0.30159389036368817,0.23937731968865325,11.308011060695165,-0.034728255105323846,0.03495819358190855,15.03488496446779,0.0,False,139.46000000000078
0.0,0.47739800254640796,1.0,one_inch,CM254-500-M01,1000.0,11,4,55.05000000000045,143,cos,6.316856947545886,0.028364716934554297,D150,150.0,12.0,False,ray died at bounce 1 (clipped),0.0,0,0.0,inf,-inf,-inf,-inf,0.0,0.0,0.4805814667472057,0.0,,,,,False,
0.1172779098454621,0.24849739071841062,1.0,one_inch,CM254-025-M01,50.0,11,3,48.230000000000345,165,sin,0.0,-0.02052634266909037,D150,150.0,12.0,False,never returns to hole,0.0,0,0.0,3.329365975796402,-inf,-inf,-inf,0.0,0.0,0.26022045041832437,0.0,,,,0.0,False,
0.04879193502333804,0.2,1.0,one_inch,CM254-050-M01,100.0,11,5,51.370000000000395,143,sin,0.0,0.03481832743200699,D150,150.0,12.0,False,never returns to hole,0.0,0,0.0,3.897384502727908,-inf,-inf,-inf,0.0,0.0,0.2406576956853701,0.0,,,,0.0,False,
0.04208718408603679,0.2,1.0,one_inch,CM254-075-M01,150.0,9,4,51.54000000000036,135,sin,0.0,0.06059426479871642,D150,150.0,12.0,False,never returns to hole,0.0,0,0.0,3.8305067636553534,-inf,-inf,-inf,0.0,0.0,0.24052580638667745,0.0,,,,0.0,False,
0.06425631710451543,0.2550941010802772,1.0,one_inch,CM254-025-M01,50.0,11,4,46.26000000000032,143,sin,0.0,-0.0346921657240016,D150,150.0,12.0,False,never returns to hole,0.0,0,0.0,2.8720245795331976,-inf,-inf,-inf,0.0,0.0,0.2694725638449356,0.0,,,,0.0,False,
0.047518520781468086,0.2,1.0,one_inch,CM254-075-M01,150.0,13,4,56.11000000000044,143,sin,0.0,0.05284924834085701,D150,150.0,12.0,False,never returns to hole,0.0,0,0.0,2.1128832122629477,-inf,-inf,-inf,0.0,0.0,0.2340440083277649,0.0,,,,0.0,False,
0.019707173591321996,0.2,1.0,one_inch,CM254-050-M01,100.0,11,5,49.690000000000346,165,sin,0.0,0.028162767743751566,D150,150.0,12.0,False,never returns to hole,0.0,0,0.0,1.624922491923749,-inf,-inf,-inf,0.0,0.0,0.23825077908740522,0.0,,,,0.0,False,
0.019041969249673413,0.37726613308318396,1.0,one_inch,CM254-1000-M01,2000.0,13,3,55.29000000000044,169,sin,0.0,0.020346863184779903,D150,150.0,12.0,False,never returns to hole,0.0,0,0.0,1.5267380280136547,-inf,-inf,-inf,0.0,0.0,0.3807199182904919,0.0,,,,0.0,False,
0.03273615562702242,0.3769771041362169,0.0625558307663061,one_inch,CM254-500-M01,1000.0,12,5,54.34429489506039,180,sin,-0.3098651937611753,-0.016180709434044767,D150,150.0,12.0,False,never returns to hole,0.0,0,0.0,0.7656199098471735,-inf,-inf,-inf,0.0,0.0,0.3770049981714482,0.0,,,,0.0,True,
0.0,0.2,1.0,one_inch,CM254-050-M01,100.0,12,5,60.0000000000005,156,cos,4.502015010271573,-0.037976275768773535,D160,160.0,14.0,False,intermediate spot leaks into hole,18.08216148532457,156,0.07805535377610129,0.08106729854272218,-0.404708822243814,4.712930199160018,0.13918457614572555,0.655295678845829,0.34935235003322396,0.25154646465920905,15.770262646519067,-0.20052341190882972,-0.11926209080650163,15.086994570426066,0.0,False,156.000000000001
0.0,0.2,1.0,one_inch,CM254-050-M01,100.0,12,5,51.73000000000039,180,cos,2.352918490053654,-0.023521043562389883,D160,160.0,14.0,False,intermediate spot leaks into hole,17.988271798297323,180,0.04102927415035604,0.11825921548658279,-0.5643719186958671,8.680816907812092,0.40272580541854996,0.9537438362224454,0.30159389036368817,0.23937731968865325,11.308011060695165,-0.034728255105323846,0.03495819358190855,15.03488496446779,0.0,False,139.46000000000078
0.08572721076455175,0.2,1.025967058590009,one_inch,CM254-050-M01,100.0,12,5,60.025733194698304,156,sin,-0.06974797735746807,0.027852052160370018,D160,160.0,14.0,False,exit miss > 0.35 mm,18.089797505868116,156,0.000764187317409666,0.3949054205247503,2.769531553740927,1.0094625216051494,0.2903960555687357,0.8403471960683001,0.3378812471242655,0.2540101127657585,25.667620292575172,-0.202101879451152,-0.11851172615210892,15.30539426649162,0.0,True,156.0514663893966
0.0,0.34099857324743427,1.0,one_inch,CM254-500-M01,1000.0,11,4,55.05000000000045,143,cos,6.316856947545886,0.028364716934554297,D160,160.0,14.0,False,ray died at bounce 1 (clipped),0.0,0,0.0,inf,-inf,-inf,-inf,0.0,0.0,0.3496532938700175,0.0,,,,,False,
0.0,0.38470934327777345,1.0,one_inch,CM254-750-M01,1500.0,14,5,59.20000000000051,154,cos,5.530811928508996,0.028468928671638347,D160,160.0,14.0,False,ray died at bounce 2 (clipped),0.0,0,0.0,inf,-inf,-inf,-inf,0.0,0.0,0.3915728984402736,0.0,,,,,False,
0.03529237078098517,0.2465674552266124,1.0,one_inch,CM254-150-M01,300.0,11,4,59.660000000000494,143,sin,0.0,0.05427285357655218,D160,160.0,14.0,False,never returns to hole,0.0,0,0.0,2.7908779782584374,-inf,-inf,-inf,0.0,0.0,0.27243914710231554,0.0,,,,0.0,False,
0.04879193502333804,0.2,1.0,one_inch,CM254-050-M01,100.0,11,5,51.370000000000395,143,sin,0.0,0.03481832743200699,D160,160.0,14.0,False,never returns to hole,0.0,0,0.0,3.897384502727908,-inf,-inf,-inf,0.0,0.0,0.2406576956853701,0.0,,,,0.0,False,
0.019707173591321996,0.2,1.0,one_inch,CM254-050-M01,100.0,11,5,49.690000000000346,165,sin,0.0,0.028162767743751566,D160,160.0,14.0,False,never returns to hole,0.0,0,0.0,1.624922491923749,-inf,-inf,-inf,0.0,0.0,0.23825077908740522,0.0,,,,0.0,False,
0.07584666534219044,0.2,1.0,one_inch,CM254-050-M01,100.0,13,6,57.660000000000466,195,sin,0.0,0.05404121172288303,D160,160.0,14.0,False,never returns to hole,0.0,0,0.0,0.5982204897656981,-inf,-inf,-inf,0.0,0.0,0.25040787430404404,0.0,,,,0.0,False,
0.03273615562702242,0.3769771041362169,0.0625558307663061,one_inch,CM254-500-M01,1000.0,12,5,54.34429489506039,180,sin,-0.3098651937611753,-0.016180709434044767,D160,160.0,14.0,False,never returns to hole,0.0,0,0.0,0.7656199098471735,-inf,-inf,-inf,0.0,0.0,0.3770049981714482,0.0,,,,0.0,True,
0.04943164914054973,0.2885834424057494,0.0,one_inch,CM254-150-M01,300.0,13,5,62.08489258773205,143,sin,-0.08687298976355737,-0.034527262037574794,D170,170.0,16.0,True,,16.602410877192007,143,0.11693505672398748,2.481832238950115e-07,2.7606827009961066,2.6132008828335938,0.5252768166470072,1.1220390274526342,0.37442997321410987,0.2885834424057494,20.68582999757194,0.5859838159003142,0.6384259889995819,20.860088391023655,0.0,True,160.16978517546409
0.03778525316135366,0.2,1.457942842350524,one_inch,CM254-050-M01,100.0,13,6,61.51831246745246,169,sin,-0.2449014448154683,-0.043071639477726076,D170,170.0,16.0,True,,20.641580428937434,169,0.07893810993515632,3.095349595618902e-07,1.2437131391374048,4.066947113894707,0.4166898991526873,0.9462579278171392,0.40164614401973825,0.30811437128131675,16.375275668289724,-0.2307075433823047,-0.21225827108318773,7.106196528712176,0.0,True,159.03662493490492
0.0,0.2,1.0,one_inch,CM254-050-M01,100.0,12,5,60.0000000000005,156,cos,4.502015010271573,-0.037976275768773535,D170,170.0,16.0,False,intermediate spot leaks into hole,18.08216148532457,156,0.07805535377610129,0.08106729854272218,-0.404708822243814,4.712930199160018,0.13918457614572555,0.655295678845829,0.34935235003322396,0.25154646465920905,15.770262646519067,-0.20052341190882972,-0.11926209080650163,15.086994570426066,0.0,False,156.000000000001
0.0,0.2,1.0,one_inch,CM254-050-M01,100.0,12,5,51.73000000000039,180,cos,2.352918490053654,-0.023521043562389883,D170,170.0,16.0,False,intermediate spot leaks into hole,17.988271798297323,180,0.04102927415035604,0.11825921548658279,-0.5643719186958671,8.680816907812092,0.40272580541854996,0.9537438362224454,0.30159389036368817,0.23937731968865325,11.308011060695165,-0.034728255105323846,0.03495819358190855,15.03488496446779,0.0,False,139.46000000000078
0.08572721076455175,0.2,1.025967058590009,one_inch,CM254-050-M01,100.0,12,5,60.025733194698304,156,sin,-0.06974797735746807,0.027852052160370018,D170,170.0,16.0,False,exit miss > 0.35 mm,18.089797505868116,156,0.000764187317409666,0.3949054205247503,2.769531553740927,1.0094625216051494,0.2903960555687357,0.8403471960683001,0.3378812471242655,0.2540101127657585,25.667620292575172,-0.202101879451152,-0.11851172615210892,15.30539426649162,0.0,True,156.0514663893966
0.0,0.5421803962786356,1.0,one_inch,CM254-750-M01,1500.0,14,5,60.90000000000053,154,cos,6.395214019722444,-0.03244761172648598,D170,170.0,16.0,False,ray died at bounce 1 (clipped),0.0,0,0.0,inf,-inf,-inf,-inf,0.0,0.0,0.5447920720142543,0.0,,,,,False,
