family,sku,roc,N,chord_skip,R_ring,chord_mm,aoi_deg,n_exit,spots_per_mirror,mode_s,amp_ratio,d_norm,extent_norm,A_req_mm,w_typ_mm,th_t,th_s,opl_est_m,phase_err_t,phase_err_s,phase_err_res,throughput_est,envelope_mm
one_inch,CM254-150-M01,300.0,8,3,61.75,114.09912226514392,22.5,40,5,sin,1.4,0.3311159153863308,1.6782562030741088,2.9423229890163447,0.337124984935196,0.9418001637925008,0.8650257452649076,4.563964890605757,0.027105291377491625,0.043510621108577396,0.06809050916272141,0.41467558376346864,159.5
one_inch,CM254-150-M01,300.0,8,3,62.0,114.56106203139956,22.5,40,5,sin,1.4,0.3311159153863308,1.6782562030741088,2.944820854916896,0.3375385265122826,0.9438597506142169,0.8668933530540768,4.582442481255983,0.0552781814911647,0.11821493267534677,0.06809170284632128,0.41467558376346864,160.0
one_inch,CM254-750-M01,1500.0,9,4,67.75,133.44145053315418,10.000000000000002,45,5,cos,1.0,1.1755705045849445,1.0,1.1009975552480629,0.4971501257848777,0.4283155287227239,0.42170947555796284,6.004865273991938,0.42464287098381703,0.12737047856957062,0.29052318461507454,0.38449404439358714,171.5
one_inch,CM254-750-M01,1500.0,9,4,62.0,122.11616137351379,10.000000000000002,45,5,cos,1.0,1.1755705045849445,1.0,1.081648210480305,0.4857768662888672,0.4094665427840107,0.4031594827750005,5.495227261808121,0.42356149625827655,0.7073791966637337,0.2905234381606679,0.38449404439358714,160.0
one_inch,CM254-075-M01,150.0,10,3,66.25,107.19475175468054,36.0,50,5,sin,0.7,0.38845412050541955,1.1770558432176224,2.3137354405228105,0.29939003281525395,1.4538633653325181,1.1353106168002207,5.359737587734028,0.4365372340606619,0.21686307539476601,0.09611484145130528,0.35650922302303517,168.5
one_inch,CM254-075-M01,150.0,10,3,65.0,105.17220926874317,36.0,50,5,sin,0.7,0.38845412050541955,1.1770558432176224,2.303484037418629,0.2973989329268633,1.4370647373849552,1.123245032344499,5.258610463437159,0.4033941633174756,0.38641614739133345,0.0961613093130606,0.35650922302303517,166.0
one_inch,CM254-050-M01,100.0,10,3,71.0,114.88041320124253,36.0,50,5,sin,1.0,0.5145857563699303,1.3471337519086926,1.787031243516663,0.3097904120508596,2.0042416468647826,1.5001396167267045,5.744020660062127,0.31888257163424427,0.3912428498198004,0.20135847692694495,0.35650922302303517,178.0
one_inch,CM254-050-M01,100.0,10,3,71.0,114.88041320124253,36.0,50,5,cos,1.0,0.46098320189776043,1.3795077321153595,1.9948250181699012,0.3097904120508596,2.0042416468647826,1.5001396167267045,5.744020660062127,0.31888257163424427,0.3912428498198004,0.20135847692694495,0.35650922302303517,178.0
one_inch,CM254-050-M01,100.0,10,3,71.5,115.68943019561749,36.0,50,5,sin,1.0,0.5145857563699303,1.3471337519086926,1.7944011434653007,0.3116866348205798,2.0152891037307157,1.5066995977204034,5.784471509780875,0.23349027166240788,0.06324380013486675,0.2014992511959259,0.35650922302303517,179.0
one_inch,CM254-050-M01,100.0,10,3,71.5,115.68943019561749,36.0,50,5,cos,1.0,0.46098320189776043,1.3795077321153595,2.0030518809358933,0.3116866348205798,2.0152891037307157,1.5066995977204034,5.784471509780875,0.23349027166240788,0.06324380013486675,0.2014992511959259,0.35650922302303517,179.0
one_inch,CM254-250-M01,500.0,11,3,57.75,87.28907583791683,40.909090909090914,55,5,sin,1.4,0.394797595466984,1.6787120713846202,2.60944846993395,0.36510199071246197,0.6935209866654591,0.5195098198714541,4.800899171085425,0.4445424235227371,0.2987062106218339,0.02822721384203214,0.33056123483250516,151.5
one_inch,CM254-250-M01,500.0,11,3,55.25,83.51032796614554,40.909090909090914,55,5,sin,1.4,0.394797595466984,1.6787120713846202,2.5877025856948577,0.3608093793080135,0.6777269288522859,0.5078867259679095,4.5930680381380045,0.4241307562017873,0.3405639540731151,0.028238756412291843,0.33056123483250516,146.5
one_inch,CM254-750-M01,1500.0,11,3,77.0,116.38543445055578,40.909090909090914,55,5,sin,1.4,0.5538456088357321,1.6787120713846202,2.3883476490687925,0.5113879289049473,0.45710644385623944,0.34415417354649225,6.401198894780568,0.008113183374824473,0.07892362351831395,0.07286201545391252,0.33056123483250516,190.0
one_inch,CM254-750-M01,1500.0,11,3,77.0,116.38543445055578,40.909090909090914,55,5,cos,1.4,0.5235003841990795,1.6741870407877637,2.5267906151275383,0.5113879289049473,0.45710644385623944,0.34415417354649225,6.401198894780568,0.008113183374824473,0.07892362351831395,0.07286201545391252,0.33056123483250516,190.0
one_inch,CM254-750-M01,1500.0,11,3,76.75,116.00755966337864,40.909090909090914,55,5,sin,1.4,0.5538456088357321,1.6787120713846202,2.386801656081059,0.5109598081911738,0.4563506104914598,0.3435894563047814,6.3804157814858256,0.0334576516880567,0.047864175224216154,0.07286238266420259,0.33056123483250516,189.5
one_inch,CM254-750-M01,1500.0,11,3,76.75,116.00755966337864,40.909090909090914,55,5,cos,1.4,0.5235003841990795,1.6741870407877637,2.525155007106243,0.5109598081911738,0.4563506104914598,0.3435894563047814,6.3804157814858256,0.0334576516880567,0.047864175224216154,0.07286238266420259,0.33056123483250516,189.5
one_inch,CM254-075-M01,150.0,11,2,76.75,82.98836547943422,57.27272727272727,55,5,sin,1.4,1.1112442603431687,1.4898172996023857,0.8045019128340346,0.2969990665359606,1.594131777931083,0.7941555361010031,4.564360101368882,0.287346514304641,0.30374266470193234,0.18602268683747458,0.33056123483250516,189.5
one_inch,CM254-075-M01,150.0,11,2,76.75,82.98836547943422,57.27272727272727,55,5,cos,1.4,1.1081782227751458,1.4897661474268435,0.8067277579531693,0.2969990665359606,1.594131777931083,0.7941555361010031,4.564360101368882,0.287346514304641,0.30374266470193234,0.18602268683747458,0.33056123483250516,189.5
one_inch,CM254-075-M01,150.0,11,2,77.0,83.25868588816202,57.27272727272727,55,5,sin,1.4,1.1112442603431687,1.4898172996023857,0.8050133087784415,0.297283209439953,1.5974661549671767,0.7955205912637844,4.579227723848912,0.1039557773194808,0.2286646307489555,0.18613663587389395,0.33056123483250516,190.0
