N,R_mm,H_mm,M_halfLaps,w0_mm,R_ring,OPL_m,throughput,utility
4,76.62797014595606,58.84856092262477,87,1.9993604467662602,0.9979553780615424,37.71235715575953,0.48669885094983795,18.35456089431806
6,99.9267222880816,59.99846050981707,64,1.9998307709536098,0.9985205851576232,38.37204898603233,0.5607951039949782,21.5188572016224
8,99.99999999999702,59.99937590180322,55,1.999507580772848,0.9985314029465912,33.67635584421289,0.5224890756900347,17.59552803765149
12,100.0,59.999775047850406,38,1.9996141528333955,0.9988603800088415,23.604601938299965,0.593864826592214,14.017942836866746
16,99.9996758920383,59.99938285780805,45,1.9994164777584251,0.9988152820645451,28.09317160458578,0.4254007580264762,11.950856495958668
24,99.99965819325323,59.99937577101935,42,1.9996498207268716,0.9989999999999999,26.314264019849904,0.3643957888278284,9.588806994936949
