param,sigma,dY_dsigma,weight,allocated_sigma,allocated_delta
sigma_tilt,0.5,6.642547528331506,1.0,0.0028450264856754847,0.01889822365046136
sigma_R_ring,0.1,26.87446456665789,1.0,0.0007032037272254219,0.01889822365046136
sigma_d_lateral,0.05,36.27421661358009,1.0,0.0005209822682534893,0.01889822365046136
sigma_dR,1.0,1.3670343061664696,1.0,0.013824249739172269,0.01889822365046136
sigma_d_axial,0.1,8.0094433295967,1.0,0.0023594927728158286,0.01889822365046136
sigma_input_tilt,0.5,0.9170715308279961,1.0,0.020607142425846246,0.01889822365046136
sigma_input_pos,0.05,1.0769800175451432,1.0,0.017547422740059535,0.01889822365046136
