design,n_vertices,n_compared,align_offset,rms_um,worst_um,median_um,exit_note,opl_comsol_m,opl_ours_m,opl_diff_um,opl_diff_ppm
D190_26m_trigas,176,176,1,3.807335981527528,9.090118663152886,2.9306015467987527,exit-vertex miss from entrance point: 0.0094 mm (hole r = 1.3 mm),25.57532657820543,25.57532855080116,-1.972595728148008,-0.0771288519023234
D160_27m,228,228,1,4.239900093855305,10.164739181800815,2.666621908267479,exit-vertex miss from entrance point: 0.0103 mm (hole r = 1.3 mm),26.60212812887252,26.6021292002766,-1.0714040727179963,-0.0402751247710975
D180_24m_H2,176,176,1,3.599358223984316,8.960611624193579,2.251053982046559,exit-vertex miss from entrance point: 0.0091 mm (hole r = 1.3 mm),23.691772948936134,23.691770738844514,2.210091617598664,0.0932852019361746
D180_15m_sparse,112,112,1,3.2615469017361107,7.823547974899417,2.1872833765531405,exit-vertex miss from entrance point: 0.0078 mm (hole r = 1.3 mm),15.160556378879164,15.160555764768532,0.6141106332506752,0.0405071319798051
D130_9m_halfinch,98,98,1,1.261304343538799,3.0139578299877967,0.7956673086689844,exit-vertex miss from entrance point: 0.0005 mm (hole r = 0.8 mm),9.020912368059856,9.020912481165077,-0.1131052176788216,-0.0125381127369294
D190_19m_2inch,152,152,1,8.66056404601501,19.70583385254892,5.683617041697103,exit-vertex miss from entrance point: 0.0175 mm (hole r = 1.3 mm),18.91182311460896,18.9118276283934,-4.513784439041046,-0.2386752104415464
D190_29m_max,204,204,1,1.2863759079707322,3.1072984688397325,1.0017412486677522,exit-vertex miss from entrance point: 0.0794 mm (hole r = 1.3 mm),28.8525134588327,28.852513937766336,-0.4789336380781606,-0.0165993729042536
D150_14cm_flight,204,204,1,2.7969437747229486,6.881207810064035,1.7936886040599207,exit-vertex miss from entrance point: 0.0066 mm (hole r = 1.3 mm),20.56162734033496,20.561625484136197,1.8561987672001123,0.0902749040260565
D180_22m,182,182,1,1.3349039587068454,2.937756818526033,1.0085017390685014,exit-vertex miss from entrance point: 0.0024 mm (hole r = 1.3 mm),22.13174789693975,22.1317490951868,-1.1982470532529987,-0.05414154335924551
