run_id,environment,design,perturbation,pass_count,path_m,edge_clear_mm,hole_clear_mm,exit_clear_mm,result
D190_26m_trigas-hybrid-Lofft+,drone/hybrid,D190_26m_trigas,launch input_offset_t=+1max,176,25.981861850147716,1.1712484194885702,0.7150152824430629,0.8025609422603888,PASS
D190_26m_trigas-hybrid-Lofft-,drone/hybrid,D190_26m_trigas,launch input_offset_t=-1max,176,25.981789641748737,1.058854958572125,0.7464214518446937,0.8039638555040738,PASS
D190_26m_trigas-hybrid-Loffz+,drone/hybrid,D190_26m_trigas,launch input_offset_z=+1max,176,25.981823545384184,1.0119482185189623,0.7973089390192539,0.8092059121304351,PASS
D190_26m_trigas-hybrid-Loffz-,drone/hybrid,D190_26m_trigas,launch input_offset_z=-1max,176,25.981827657667214,1.2195479116329835,0.7558429810510017,0.8100522121089933,PASS
D190_26m_trigas-hybrid-Langt+,drone/hybrid,D190_26m_trigas,launch input_angle=+1max,176,25.98180708051039,1.2029255272303745,0.8369963533591517,0.9632035830210244,PASS
D190_26m_trigas-hybrid-Langt-,drone/hybrid,D190_26m_trigas,launch input_angle=-1max,176,25.981844449007244,1.0558887710592182,0.8848458190058339,0.9624105406114434,PASS
D190_26m_trigas-hybrid-Langs+,drone/hybrid,D190_26m_trigas,launch input_angle_sag=+1max,176,25.98182682115341,1.0579090640020787,0.8793917881672866,0.9613826919181006,PASS
D190_26m_trigas-hybrid-Langs-,drone/hybrid,D190_26m_trigas,launch input_angle_sag=-1max,176,25.98182466685337,1.2015358325155465,0.8466143687785128,0.9608430817889912,PASS
D160_27m-NOM,nominal,D160_27m,none,228,26.92438391971312,1.0728447797675127,3.4537348440751567,0.993502187359715,PASS
D160_27m-al_flexure-Mdtan+,drone/al_flexure,D160_27m,all mirrors dtan=+1max,228,26.924432727464204,1.1233120073913807,3.294314418929548,0.9299018913958856,PASS
D160_27m-al_flexure-Mdtan-,drone/al_flexure,D160_27m,all mirrors dtan=-1max,228,26.92432269377797,0.985529818700437,3.4696073529486116,0.9243403681155822,PASS
D160_27m-al_flexure-Mdsag+,drone/al_flexure,D160_27m,all mirrors dsag=+1max,228,26.92438807090062,0.8863508629904843,3.4559667257707263,0.901867134643355,PASS
D160_27m-al_flexure-Mdsag-,drone/al_flexure,D160_27m,all mirrors dsag=-1max,228,26.924379939989596,1.1955987987487262,3.333676360508089,0.9041274296521975,PASS
D160_27m-al_flexure-Mdax+,drone/al_flexure,D160_27m,all mirrors dax=+1max,228,26.889193492161947,0.8514994053484752,3.1178067833832177,-1.4365106896819764,FAIL(clearance)
D160_27m-al_flexure-Mdax-,drone/al_flexure,D160_27m,all mirrors dax=-1max,228,26.959654884211904,0.8255182738421699,2.109303596456615,-1.4701509287451324,FAIL(clearance)
D160_27m-al_flexure-Mtiltt+,drone/al_flexure,D160_27m,all mirrors tiltt=+1max,228,26.924382959997942,1.0887644385914312,3.464229577552734,0.9886231512845047,PASS
D160_27m-al_flexure-Mtiltt-,drone/al_flexure,D160_27m,all mirrors tiltt=-1max,228,26.924386373380603,1.046537272170733,3.4435785364903384,0.9885788123120998,PASS
D160_27m-al_flexure-Mtilts+,drone/al_flexure,D160_27m,all mirrors tilts=+1max,228,26.924393425275603,1.0891020737558823,3.415892672136053,0.9892893938589076,PASS
D160_27m-al_flexure-Mtilts-,drone/al_flexure,D160_27m,all mirrors tilts=-1max,228,26.92437340194664,1.0512875744689039,3.472969949155259,0.9880922607839954,PASS
D160_27m-al_flexure-Lofft+,drone/al_flexure,D160_27m,launch input_offset_t=+1max,228,26.924394539364894,1.0448246947804651,3.449990260373835,0.928530065778077,PASS
D160_27m-al_flexure-Lofft-,drone/al_flexure,D160_27m,launch input_offset_t=-1max,228,26.924373276822863,1.0981102469423594,3.409938990080711,0.929045034976601,PASS
D160_27m-al_flexure-Loffz+,drone/al_flexure,D160_27m,launch input_offset_z=+1max,228,26.9243801264747,1.044942580652679,3.4309355385439955,0.9211376260613269,PASS
D160_27m-al_flexure-Loffz-,drone/al_flexure,D160_27m,launch input_offset_z=-1max,228,26.924387662514523,1.0885449676883838,3.43178397783588,0.9210606888647137,PASS
D160_27m-al_flexure-Langt+,drone/al_flexure,D160_27m,launch input_angle=+1max,228,26.924377784467314,1.0593418193199104,3.4714111773275644,0.9863583581993914,PASS
D160_27m-al_flexure-Langt-,drone/al_flexure,D160_27m,launch input_angle=-1max,228,26.924390054152592,1.0863121066711385,3.436063912284327,0.9873988180757993,PASS
D160_27m-al_flexure-Langs+,drone/al_flexure,D160_27m,launch input_angle_sag=+1max,228,26.924384412247655,1.0551872723181974,3.455475501573741,0.9868699143690931,PASS
D160_27m-al_flexure-Langs-,drone/al_flexure,D160_27m,launch input_angle_sag=-1max,228,26.92438342964733,1.0904798106249207,3.4519993767721586,0.9869713717438696,PASS
D160_27m-hybrid-Mdtan+,drone/hybrid,D160_27m,all mirrors dtan=+1max,228,26.924480199545226,1.17189137486382,3.0718587495306204,0.8414598174074861,PASS
D160_27m-hybrid-Mdtan-,drone/hybrid,D160_27m,all mirrors dtan=-1max,228,26.92421611112018,0.861749609008694,3.462585610625134,0.8261697713845173,PASS
D160_27m-hybrid-Mdsag+,drone/hybrid,D160_27m,all mirrors dsag=+1max,228,26.924394179474643,0.6214130576404397,3.459536171804512,0.7692458893842464,PASS
D160_27m-hybrid-Mdsag-,drone/hybrid,D160_27m,all mirrors dsag=-1max,228,26.92437464764756,1.345419802497986,3.1040668473245816,0.7825978523160921,PASS
D160_27m-hybrid-Mdax+,drone/hybrid,D160_27m,all mirrors dax=+1max,228,26.84528271448507,0.8879115177875669,2.652271054174199,-4.238827312169137,FAIL(clearance)
D160_27m-hybrid-Mdax-,drone/hybrid,D160_27m,all mirrors dax=-1max,228,27.003890372405046,0.8361933473940248,1.062965739581823,-4.323895426116154,FAIL(clearance)
D160_27m-hybrid-Mtiltt+,drone/hybrid,D160_27m,all mirrors tiltt=+1max,228,26.924384680412345,1.0892766666619524,3.4540345617098382,0.9801317961061542,PASS
D160_27m-hybrid-Mtiltt-,drone/hybrid,D160_27m,all mirrors tiltt=-1max,228,26.924393782675498,1.0025130302829524,3.4274086305665232,0.9800419386359356,PASS
D160_27m-hybrid-Mtilts+,drone/hybrid,D160_27m,all mirrors tilts=+1max,228,26.9244070186567,1.0901197712964987,3.3528671933691747,0.9818730890003972,PASS
D160_27m-hybrid-Mtilts-,drone/hybrid,D160_27m,all mirrors tilts=-1max,228,26.92435362287481,1.0152306275103078,3.465492063000712,0.9787809395220521,PASS
D160_27m-hybrid-Lofft+,drone/hybrid,D160_27m,launch input_offset_t=+1max,228,26.924409668199598,0.981825706568467,3.444674766104125,0.8359232764886794,PASS
D160_27m-hybrid-Lofft-,drone/hybrid,D160_27m,launch input_offset_t=-1max,228,26.924358034181854,1.1339001240840816,3.287646658333736,0.8361546923605391,PASS
D160_27m-hybrid-Loffz+,drone/hybrid,D160_27m,launch input_offset_z=+1max,228,26.924374619970997,1.0050549808118026,3.3660386647148846,0.8170151794026816,PASS
D160_27m-hybrid-Loffz-,drone/hybrid,D160_27m,launch input_offset_z=-1max,228,26.924392921995317,1.0886963881008742,3.336496897811699,0.8177199215531386,PASS
D160_27m-hybrid-Langt+,drone/hybrid,D160_27m,launch input_angle=+1max,228,26.924367045826475,1.0356263392114269,3.485397976123767,0.9735991408892,PASS
D160_27m-hybrid-Langt-,drone/hybrid,D160_27m,launch input_angle=-1max,228,26.924400787501845,1.1097937406363176,3.405152927331842,0.9762422279452034,PASS
D160_27m-hybrid-Langs+,drone/hybrid,D160_27m,launch input_angle_sag=+1max,228,26.92438528014776,1.024232879659083,3.458534146334758,0.974880241450601,PASS
D160_27m-hybrid-Langs-,drone/hybrid,D160_27m,launch input_angle_sag=-1max,228,26.92438257794815,1.1212866992585029,3.441544331836451,0.9752085506501762,PASS
D180_24m_H2-NOM,nominal,D180_24m_H2,none,176,24.063767634562513,0.6045197944180956,2.228922433716392,0.8344242323631712,PASS
D180_24m_H2-al_flexure-Mdtan+,drone/al_flexure,D180_24m_H2,all mirrors dtan=+1max,176,24.063804591846612,0.7039490648001002,2.163742255604087,0.7759633431468981,PASS
D180_24m_H2-al_flexure-Mdtan-,drone/al_flexure,D180_24m_H2,all mirrors dtan=-1max,176,24.06372801992984,0.4766480061021135,2.2075210079659673,0.7730511499077339,PASS
D180_24m_H2-al_flexure-Mdsag+,drone/al_flexure,D180_24m_H2,all mirrors dsag=+1max,176,24.06377298160377,0.43402107465427164,2.3755736362066546,0.7895476842196789,PASS
D180_24m_H2-al_flexure-Mdsag-,drone/al_flexure,D180_24m_H2,all mirrors dsag=-1max,176,24.063762531619417,0.7177967660158695,2.080228786462025,0.7895894997992245,PASS
D180_24m_H2-al_flexure-Mdax+,drone/al_flexure,D180_24m_H2,all mirrors dax=+1max,176,24.036104984767867,0.6113064348059235,2.193335548520799,-0.14960853064780566,FAIL(clearance)
D180_24m_H2-al_flexure-Mdax-,drone/al_flexure,D180_24m_H2,all mirrors dax=-1max,176,24.091435891530857,0.5163802443064474,2.17931422153783,-0.17528715839287967,FAIL(clearance)
D180_24m_H2-al_flexure-Mtiltt+,drone/al_flexure,D180_24m_H2,all mirrors tiltt=+1max,176,24.063767598364382,0.58849777818363,2.1327531474544057,0.715245633015332,PASS
D180_24m_H2-al_flexure-Mtiltt-,drone/al_flexure,D180_24m_H2,all mirrors tiltt=-1max,176,24.063770789914074,0.5635827468075729,2.256200861850121,0.7153360580123733,PASS
D180_24m_H2-al_flexure-Mtilts+,drone/al_flexure,D180_24m_H2,all mirrors tilts=+1max,176,24.06377523585818,0.6219630280046294,2.2088661812007118,0.8324561412951492,PASS
D180_24m_H2-al_flexure-Mtilts-,drone/al_flexure,D180_24m_H2,all mirrors tilts=-1max,176,24.063759382372073,0.5694857714373556,2.2234956882549857,0.831788070363982,PASS
D180_24m_H2-al_flexure-Lofft+,drone/al_flexure,D180_24m_H2,launch input_offset_t=+1max,176,24.063787776930234,0.5754121899252691,2.1935391707356593,0.7671325465944326,PASS
D180_24m_H2-al_flexure-Lofft-,drone/al_flexure,D180_24m_H2,launch input_offset_t=-1max,176,24.063747471843488,0.622225015776382,2.1915491340650446,0.7666236362900641,PASS
D180_24m_H2-al_flexure-Loffz+,drone/al_flexure,D180_24m_H2,launch input_offset_z=+1max,176,24.063767676630487,0.5684423280830087,2.2093335683208566,0.762648403911394,PASS
D180_24m_H2-al_flexure-Loffz-,drone/al_flexure,D180_24m_H2,launch input_offset_z=-1max,176,24.06376756092587,0.6363889696259979,2.1620184774136684,0.7628640131031321,PASS
D180_24m_H2-al_flexure-Langt+,drone/al_flexure,D180_24m_H2,launch input_angle=+1max,176,24.063762854331504,0.5739889395396973,2.235392093292741,0.8309398663923566,PASS
D180_24m_H2-al_flexure-Langt-,drone/al_flexure,D180_24m_H2,launch input_angle=-1max,176,24.063772414903777,0.6350068246357483,2.222474832716822,0.8316412304549087,PASS
